Time, s; Heat flow, Watt
6625.74131147377; -1.04012356734670e-06
6626.14998040535; -1.03838993558490e-06
6636.75279042311; -1.03085670089430e-06
6637.16145935841; -1.02859156111960e-06
6653.78518090583; -1.02607857866790e-06
6657.59425048344; -1.01803470054220e-06
6658.00291259401; -1.01530719605280e-06
6666.86096199415; -1.00949132169540e-06
6675.03530297987; -1.00483597845250e-06
6678.84449821152; -9.98562516601702e-07
6687.70241514035; -9.90356960152699e-07
6694.90463575535; -9.85168943983699e-07
6704.93476100452; -9.72323480081500e-07
6715.53755865433; -9.61284132324199e-07
6715.94623995759; -9.59299922316500e-07
6724.80407456495; -9.51057403203100e-07
6727.92914114334; -9.47386922413701e-07
6736.78761080839; -9.45483204615099e-07
6745.64574250393; -9.43653712042899e-07
6746.05439224653; -9.47181247390902e-07
6757.62927878089; -9.38517752977800e-07
6758.03792851605; -9.46052785862301e-07
6768.63992719539; -9.44858692760899e-07
6777.49859238975; -9.40035458545799e-07
6785.67231761478; -9.38581598257002e-07
6789.48149363883; -9.35605836243301e-07
6789.89017493464; -9.32436175263802e-07
6798.74871457182; -9.20911403466099e-07
6807.60677632503; -9.07504694775501e-07
6815.78110493533; -8.93932472840201e-07
6819.59031251259; -8.84280971835401e-07
6826.79194881953; -8.78092969114900e-07
6836.62270294688; -8.69206010618501e-07
6847.22467002459; -8.62440990461602e-07
6847.63335131668; -8.60663834578099e-07
6856.69204192422; -8.57525077035402e-07
6868.26627421566; -8.52174377710400e-07
6868.67494314350; -8.55048407527499e-07
6877.53342512436; -8.51764640452300e-07
6880.65847935341; -8.49496235770799e-07
6889.51632634364; -8.46712012743502e-07
6898.37508075126; -8.42508883634199e-07
6900.52780536376; -8.38804487752099e-07
6909.38572913595; -8.26200742496700e-07
6917.56019577943; -8.12939161852401e-07
6926.41811956652; -8.02627120146099e-07
6930.22730793990; -7.95423873383799e-07
6930.63597687148; -7.93123458629300e-07
6947.25969830341; -7.82731784089902e-07
6947.66836723126; -7.83570550254600e-07
6951.47743004747; -7.83687958728700e-07
6967.12910108082; -7.75792836980599e-07
6968.50982046686; -7.71278674679602e-07
6977.36850491352; -7.65346331514801e-07
6979.52129947580; -7.61873543502400e-07
6988.37915330194; -7.56443252586502e-07
6997.23790077306; -7.49204602266799e-07
7000.36268948578; -7.44622597578800e-07
7009.42075741477; -7.34728482871201e-07
7018.27922710963; -7.22711119993902e-07
7021.40429368802; -7.16484560333201e-07
7030.26212835498; -7.09085460418001e-07
7032.41494208016; -7.07460764496702e-07
7041.27360727452; -7.00804026341199e-07
7050.13154346682; -6.92056352005801e-07
7058.30599774607; -6.85112604961401e-07
7062.11507971026; -6.82884614484801e-07
7062.52372944913; -6.83661405193099e-07
7079.14747010357; -6.69324163325800e-07
7088.00550027378; -6.65553293727201e-07
7088.41418156214; -6.65434293653399e-07
7099.01678368635; -6.60816813524401e-07
7100.39771780930; -6.59741639129302e-07
7109.25562244467; -6.51549739938400e-07
7119.85845165886; -6.44986129453699e-07
7120.26710139774; -6.41974601908999e-07
7129.12496761791; -6.37330039445600e-07
7132.25000266172; -6.33226016446700e-07
7173.00609879568; -6.43327496421502e-07
7181.86419895292; -6.42821518414800e-07
7199.96783807874; -6.48090602460699e-07
7201.34875985235; -6.44300845781900e-07
7219.54387775808; -6.44333414727799e-07
7219.95254668593; -6.41756856313800e-07
7237.08435069956; -6.30795379421301e-07
7278.69608375803; -6.18015535049497e-07
7279.10474585742; -6.16259270388998e-07
7287.96330464260; -6.03172523630897e-07
7297.31684413552; -5.97850091971999e-07
7318.99591869116; -5.94228927511799e-07
7319.40458079800; -5.92929493543000e-07
7323.96196062117; -5.90066015622801e-07
7342.45099131204; -5.85018990438899e-07
7373.18355564773; -5.88241853870500e-07
7383.78553509340; -5.78161026186702e-07
7384.19420402498; -5.76238273919102e-07
7403.36222362518; -5.66892349188100e-07
7419.52139849029; -5.62368191103602e-07
7419.93006059341; -5.60831964509202e-07
7435.94427573309; -5.57326012233300e-07
7469.15172367729; -5.56928522640899e-07
7472.96072333492; -5.52731344702101e-07
7481.81947090290; -5.47477839052001e-07
7505.44189543650; -5.38220925626901e-07
7506.82282955572; -5.34794478233000e-07
7533.21575598047; -5.25398494568800e-07
7533.62443727628; -5.24241596330700e-07
7537.43361327052; -5.23721312638703e-07
7575.64384363591; -5.31739638098000e-07
7583.81766285747; -5.26146490478698e-07
7600.12310276739; -5.22188218704002e-07
