Time, s; Heat flow, Watt
1783.22161412062; 1.23402487186807e-05
1862.71742394785; 1.01503768559230e-05
1942.21323377507; 9.81196784037900e-06
2021.70904360230; 9.87738744486270e-06
2325.01225290359; 7.89274941357780e-06
2404.50806273082; 7.63025334229650e-06
2707.81127203210; 6.18731604979500e-06
2787.30708185933; 6.22459031136770e-06
2866.80289168655; 6.02076017144410e-06
3170.10610098784; 5.51722560553800e-06
3249.60191081506; 5.45431782249670e-06
3329.09772064229; 5.41106121886490e-06
3632.40092994357; 4.99816413649130e-06
3711.89673977080; 5.00088542097850e-06
3791.39254959802; 4.93455325576150e-06
4094.69575889932; 4.65409622019170e-06
4174.19156872654; 4.62150128242460e-06
4253.68737855376; 4.65472027349090e-06
4556.99058785505; 4.30063829971610e-06
4636.48639768227; 4.29930364043050e-06
4939.78960698357; 4.05426109526400e-06
5019.28541681079; 4.01174109682850e-06
5098.78122663802; 4.03572347545010e-06
5402.08443593930; 3.85588034131350e-06
5481.58024576652; 3.79767279402800e-06
5561.07605559374; 3.85975328753700e-06
5864.37926489503; 4.49717638670030e-06
5943.87507472225; 4.47882950376760e-06
6023.37088454948; 4.52791647678500e-06
6326.67409385077; 4.35109923393940e-06
6406.16990367800; 4.20135341680460e-06
6485.66571350522; 4.27900335916360e-06
6788.96892280651; 4.25134803997400e-06
6868.46473263373; 4.20544585345260e-06
6947.96054246095; 4.24865366882870e-06
7251.26375176225; 4.14234561953240e-06
7330.75956158947; 4.08380325000810e-06
7634.06277089076; 4.23923381415000e-06
7713.55858071798; 4.21604754071970e-06
7793.05439054521; 4.17827167565420e-06
8096.35759984649; 4.24976473636740e-06
8175.85340967372; 4.23249924064650e-06
8255.34921950095; 4.13541988268980e-06
8558.65242880223; 4.18694287707140e-06
8638.14823862946; 4.11694581677100e-06
8717.64404845668; 4.10537084210890e-06
9020.94725775797; 4.04910540807330e-06
9100.44306758519; 4.06333357159980e-06
9179.93887741242; 4.02425565805410e-06
9483.24208671370; 4.08773647879600e-06
9562.73789654093; 4.07973654452510e-06
9866.04110584222; 3.93961002722120e-06
9945.53691566944; 3.89761990741050e-06
10025.03272549667; 3.88406267944870e-06
10328.33593479795; 3.83832497711650e-06
10407.83174462517; 3.87123308840260e-06
10487.32755445240; 3.85596769996540e-06
10790.63076375369; 3.73945217605080e-06
10870.12657358091; 3.80369642367890e-06
10949.62238340814; 3.75480165957510e-06
11252.92559270942; 3.79273894644890e-06
11332.42140253665; 3.75637191217670e-06
11411.91721236387; 3.68774073625140e-06
11715.22042166516; 3.55913321411720e-06
11794.71623149238; 3.62520406051970e-06
12098.01944079368; 3.63594050670840e-06
12177.51525062090; 3.60163188352320e-06
12257.01106044813; 3.51345269447290e-06
12560.31426974941; 3.51464649366650e-06
12639.81007957664; 3.48741217329050e-06
12719.30588940387; 3.41323461416680e-06
13022.60909870515; 3.42806116820880e-06
13102.10490853238; 3.47173139236720e-06
13181.60071835960; 3.35406192472100e-06
13484.90392766089; 3.31881786155770e-06
13564.39973748811; 3.28507572501240e-06
13643.89554731533; 3.21686756556040e-06
13947.19875661662; 3.32143232718590e-06
14026.69456644385; 3.27114432364470e-06
14106.19037627107; 3.18060924550270e-06
14409.49358557236; 3.20574681069580e-06
14488.98939539958; 3.09749526261910e-06
14792.29260470087; 3.13421960021290e-06
14871.78841452810; 3.17047286444510e-06
14951.28422435532; 3.11334255142380e-06
15254.58743365660; 3.11727490601640e-06
15334.08324348383; 3.06468713951660e-06
15413.57905331106; 3.02395929479440e-06
15716.88226261235; 3.04229630355790e-06
15796.37807243957; 3.03842796650740e-06
15875.87388226679; 3.01349532765350e-06
16179.17709156808; 2.89546241802660e-06
16258.67290139530; 2.91575335950140e-06
16338.16871122253; 2.89320530938230e-06
16641.47192052382; 2.98611572187550e-06
16720.96773035105; 2.99133965125000e-06
17024.27093965233; 2.99997365201780e-06
17103.76674947955; 2.94549235135850e-06
17183.26255930678; 2.86291393365620e-06
17486.56576860807; 2.98928733388700e-06
17566.06157843530; 2.84953816464110e-06
17645.55738826252; 2.85519717224550e-06
17948.86059756381; 2.80700817667960e-06
18028.35640739103; 2.80415652532590e-06
18107.85221721826; 2.80176178421640e-06
18411.15542651954; 2.93844124013020e-06
18490.65123634677; 2.92060688231230e-06
18570.14704617400; 2.87347254314140e-06
18873.45025547528; 2.86333908855970e-06
18952.94606530250; 2.81722712920890e-06
19032.44187512973; 2.75061830657190e-06
19335.74508443102; 2.91960665801600e-06
19415.24089425824; 2.86670971051440e-06
19718.54410355952; 2.86917354104650e-06
19798.03991338675; 2.78931742446820e-06
19877.53572321397; 2.76291675655380e-06
20180.83893251527; 2.92563494386950e-06
20260.33474234249; 2.92220739817760e-06
20339.83055216972; 2.84541619536000e-06
20643.13376147100; 2.98791809544620e-06
20722.62957129822; 2.83593483227940e-06
20802.12538112545; 2.84366727199900e-06
21105.42859042674; 3.02473964467370e-06
21184.92440025396; 2.91921169943820e-06
21264.42021008119; 2.73661202016630e-06
21567.72341938248; 2.98108418189620e-06
21647.21922920970; 2.89093642421880e-06
21950.52243851098; 2.99258708369490e-06
22030.01824833821; 3.03304215811250e-06
22109.51405816543; 2.95556238596920e-06
22412.81726746672; 3.02989460197770e-06
22492.31307729395; 2.99114582587430e-06
22571.80888712117; 2.91482056759130e-06
22875.11209642246; 3.11764372844500e-06
22954.60790624969; 2.92248389332860e-06
23034.10371607691; 2.85720774325410e-06
23337.40692537819; 2.99556467252340e-06
23416.90273520542; 2.97780333830330e-06
23496.39854503264; 2.84959795238450e-06
23799.70175433394; 3.07989231596470e-06
23879.19756416116; 3.03438279961610e-06
23958.69337398838; 2.97042012790290e-06
24261.99658328967; 2.94560789540210e-06
24341.49239311690; 3.00035059250790e-06
24644.79560241818; 3.20046495089590e-06
24724.29141224541; 3.10496951994050e-06
24803.78722207263; 2.90065500700190e-06
25107.09043137392; 3.18626000813300e-06
25186.58624120114; 3.02723897303520e-06
25266.08205102837; 2.90810598364120e-06
25569.38526032965; 3.17286356472660e-06
25648.88107015688; 3.10969662559410e-06
25728.37687998411; 3.00491249299270e-06
26031.68008928539; 3.00866863791140e-06
26111.17589911262; 3.05788401346460e-06
26190.67170893984; 2.84066082569430e-06
26493.97491824113; 3.05648556541960e-06
26573.47072806835; 2.99463372124100e-06
26876.77393736964; 3.21261650848190e-06
26956.26974719686; 3.10826286794770e-06
27035.76555702409; 2.99548519749090e-06
27339.06876632537; 3.25383575511640e-06
27418.56457615260; 3.16862032387200e-06
27498.06038597982; 3.14042761401290e-06
27801.36359528112; 3.12618683206180e-06
27880.85940510834; 3.15686689245370e-06
27960.35521493557; 3.08229882872350e-06
28263.65842423685; 3.25612522401010e-06
28343.15423406407; 2.99722574828370e-06
28422.65004389130; 3.05603501867450e-06
28725.95325319259; 3.28738755226930e-06
28805.44906301981; 3.02862280867410e-06
29108.75227232110; 3.38702315908330e-06
29188.24808214833; 3.37929261564260e-06
29267.74389197555; 3.23492776362960e-06
29571.04710127684; 3.24848329742480e-06
29650.54291110406; 3.32015721403570e-06
29730.03872093128; 3.19059659727660e-06
30033.34193023257; 3.21644210364880e-06
30112.83774005980; 3.29536157204740e-06
30192.33354988702; 3.17316904935600e-06
30495.63675918831; 3.35255153288610e-06
30575.13256901554; 3.19911240277700e-06
30654.62837884275; 3.21466898322170e-06
30957.93158814405; 3.43057313312290e-06
31037.42739797127; 3.39927851948350e-06
31116.92320779849; 3.23230260058250e-06
31420.22641709978; 3.39968207008640e-06
31499.72222692701; 3.33477277253850e-06
31803.02543622829; 3.48641761487440e-06
31882.52124605552; 3.47261710921110e-06
31962.01705588274; 3.40953600546000e-06
32265.32026518403; 3.64439337725320e-06
32344.81607501125; 3.44373180590940e-06
32424.31188483848; 3.51973869181390e-06
32727.61509413976; 3.76224651807330e-06
32807.11090396699; 3.60467382457260e-06
32886.60671379422; 3.43303572893930e-06
33189.90992309550; 3.72293155965930e-06
33269.40573292272; 3.55891837359970e-06
33348.90154274995; 3.38197968024640e-06
33652.20475205124; 3.64240669776890e-06
33731.70056187847; 3.65425434289900e-06
34035.00377117975; 3.85040831525060e-06
34114.49958100698; 3.66865115700300e-06
34193.99539083420; 3.76194219981520e-06
34497.29860013549; 4.03425705205370e-06
34576.79440996271; 3.89119323485830e-06
34656.29021978994; 3.74408863149160e-06
34959.59342909123; 4.01695691105890e-06
35039.08923891844; 3.92198609325100e-06
35118.58504874568; 3.74839109504900e-06
35421.88825804697; 4.02276721543660e-06
35501.38406787418; 3.95132314487250e-06
35580.87987770142; 3.92148218616680e-06
35884.18308700270; 4.03552479070800e-06
35963.67889682992; 4.05581289608800e-06
36043.17470665715; 3.94994652862090e-06
36346.47791595844; 4.32901259543576e-06
36425.97372578566; 4.00866990616396e-06
36729.27693508695; 4.39504032304325e-06
36808.77274491417; 4.38024112446775e-06
36888.26855474139; 4.06761668542865e-06
37191.57176404269; 4.42526267224186e-06
37271.06757386991; 4.43012269894276e-06
37350.56338369713; 4.22691942407026e-06
37653.86659299842; 4.42671480265073e-06
37733.36240282565; 4.55812291032963e-06
37812.85821265287; 4.39448700943853e-06
38116.16142195415; 4.62496280462355e-06
38195.65723178138; 4.50511573231635e-06
38275.15304160860; 4.44536798413215e-06
38578.45625090989; 4.67766269831360e-06
38657.95206073712; 4.44339440710310e-06
38961.25527003840; 4.77582089560240e-06
39040.75107986563; 4.65461633385650e-06
39120.24688969285; 4.61117906466280e-06
39423.55009899414; 4.73055060954899e-06
39503.04590882137; 4.69558781165379e-06
39582.54171864859; 4.64468375134669e-06
39885.84492794987; 4.80992394905643e-06
39965.34073777711; 4.54485650835823e-06
40044.83654760433; 4.54007275547223e-06
40348.13975690561; 4.79979763187720e-06
40427.63556673285; 4.45335846488060e-06
40507.13137656006; 4.39797327269030e-06
40810.43458586135; 4.62872692974332e-06
40889.93039568858; 4.43418682965962e-06
41193.23360498986; 4.46458105785761e-06
41272.72941481709; 4.50653392062461e-06
41352.22522464431; 4.37850696726721e-06
41655.52843394560; 4.32235150818528e-06
41735.02424377283; 4.34439398686098e-06
41814.52005360005; 4.25786942502478e-06
42117.82326290134; 4.26081133290297e-06
42197.31907272856; 4.14307825096646e-06
42276.81488255579; 4.14732857108894e-06
42580.11809185708; 4.14305534361747e-06
42659.61390168429; 4.09131528885222e-06
42739.10971151153; 3.86511089155322e-06
43042.41292081281; 4.02975953183101e-06
43121.90873064003; 3.95927088052199e-06
43201.40454046727; 3.74263242778781e-06
