Time; Heat_flow
1838.14164327099; 3.03298107464970e-06
1893.80080293908; 1.93803355852990e-06
1949.45996260717; 1.45021744688310e-06
2005.11912227526; 5.94704523589988e-08
2284.58568141742; -5.05636124347300e-06
2340.24484108551; -4.60611580665400e-06
2395.90400075361; -4.44382134031590e-06
2451.56316042170; -4.37617817647860e-06
2731.02971956385; -5.41438419048650e-06
2786.68887923194; -4.99208953026040e-06
2842.34803890004; -4.48734260176590e-06
2898.00719856813; -3.73147921300320e-06
3177.47375771029; -3.85433300178990e-06
3233.13291737838; -3.53202905718140e-06
3288.79207704647; -3.82172848723590e-06
3344.45123671456; -3.87001753576670e-06
3623.91779585672; -4.15477937966220e-06
3679.57695552481; -3.77515027941730e-06
3735.23611519290; -3.74976729216570e-06
3790.89527486099; -3.50704672242910e-06
4070.36183400315; -3.83374343675200e-06
4126.02099367124; -3.85125974982800e-06
4181.68015333933; -3.88364743573520e-06
4237.33931300743; -3.97018208422670e-06
4516.80587214957; -3.83381936613990e-06
4572.46503181767; -4.14498101136240e-06
4628.12419148576; -4.07631380000270e-06
4683.78335115385; -4.05930383769530e-06
4963.24991029601; -4.31717414075610e-06
5018.90906996411; -4.03765131767380e-06
5074.56822963220; -3.97032475225610e-06
5130.22738930029; -3.82992146945020e-06
5409.69394844244; -4.10874066161200e-06
5465.35310811053; -4.00100059712230e-06
5521.01226777862; -3.97013357025110e-06
5576.67142744671; -3.81487110367820e-06
5856.13798658887; -2.84736121417880e-06
5911.79714625696; -2.70319608696640e-06
5967.45630592506; -2.93666540670450e-06
6023.11546559315; -2.83950434747860e-06
6302.58202473530; -2.99044857698380e-06
6358.24118440339; -2.75909210662780e-06
6413.90034407149; -2.90500118812430e-06
6469.55950373958; -2.77151340457330e-06
6749.02606288174; -2.73023168154160e-06
6804.68522254982; -2.62994129304150e-06
6860.34438221792; -2.49084451981720e-06
6916.00354188601; -2.38038245695350e-06
7195.47010102817; -2.34876787906630e-06
7251.12926069626; -2.28822129425010e-06
7306.78842036435; -2.11903140061820e-06
7362.44758003245; -2.03102497445190e-06
7641.91413917459; -1.78107910432320e-06
7697.57329884269; -1.72003253260250e-06
7753.23245851078; -1.57840675122190e-06
7808.89161817888; -1.59170149116230e-06
8088.35817732103; -1.39318669632490e-06
8144.01733698913; -1.37135495425170e-06
8199.67649665722; -2.37994422628060e-06
8255.33565632531; -4.29786602350770e-06
8534.80221546746; -4.45272285962160e-06
8590.46137513555; -5.13836342952880e-06
8646.12053480365; -4.14637906682370e-06
8701.77969447173; -3.52520559671790e-06
8981.24625361390; -2.87488776034540e-06
9036.90541328198; -2.22687763905740e-06
9092.56457295008; -1.85377369869190e-06
9148.22373261817; -1.69866605425390e-06
9427.69029176033; -1.28345925971980e-06
9483.34945142841; -1.09970068053870e-06
9539.00861109651; -9.93256553497900e-07
9594.66777076460; -8.90936241621200e-07
9874.13432990676; -8.00443340558501e-07
9929.79348957485; -7.54040544413099e-07
9985.45264924294; -7.77960130803600e-07
10041.11180891104; -6.09680203897101e-07
10320.57836805319; -5.15842328984901e-07
10376.23752772128; -5.12551391376400e-07
10431.89668738937; -4.80331247265700e-07
10487.55584705747; -4.34151916882800e-07
10767.02240619962; -5.42763276891303e-07
10822.68156586772; -4.34635948537703e-07
10878.34072553581; -3.68222049054701e-07
10933.99988520390; -3.92981033122802e-07
11213.46644434605; -2.69651420413200e-07
11269.12560401415; -2.55086343765000e-07
11324.78476368224; -3.05354200212900e-07
11380.44392335033; -3.50500238408302e-07
11659.91048249248; -3.06631697595000e-07
11715.56964216057; -3.26610364301002e-07
11771.22880182866; -3.18182021742103e-07
11826.88796149676; -2.82947257573302e-07
12106.35452063892; -2.32233462685999e-07
12162.01368030701; -2.85777542395102e-07
12217.67283997510; -1.73569461516099e-07
12273.33199964319; -1.89248826133002e-07
12552.79855878535; -2.46469720729801e-07
12608.45771845344; -1.99231809501200e-07
12664.11687812153; -2.29617197583999e-07
12719.77603778963; -2.97977557515500e-07
12999.24259693177; -1.02919211242198e-07
13054.90175659987; -1.51307631583299e-07
13110.56091626796; -1.65989159939500e-07
13166.22007593605; -1.47186938634400e-07
13445.68663507820; -2.42483860609303e-07
13501.34579474630; -2.91868827022203e-07
13557.00495441439; -2.65949353572200e-07
13612.66411408248; -2.49558269932101e-07
13892.13067322464; -1.95277211593101e-07
13947.78983289273; -1.80996149954000e-07
14003.44899256082; -2.20482026459300e-07
14059.10815222892; -2.41186481174899e-07
14338.57471137107; -2.47260372093900e-07
14394.23387103916; -2.48658489723599e-07
14449.89303070726; -2.37722490561198e-07
14505.55219037535; -2.29475781988200e-07
14785.01874951751; -1.94897626172900e-07
14840.67790918560; -2.07374326755898e-07
14896.33706885369; -2.22471003576099e-07
14951.99622852178; -2.25023847514799e-07
15231.46278766394; -2.05375851035000e-07
15287.12194733203; -1.87028214619900e-07
15342.78110700012; -2.30199248994700e-07
15398.44026666821; -2.45843132600800e-07
15454.09942633631; -2.17361350819900e-07
15733.56598547846; -2.22804408661899e-07
15789.22514514655; -1.92984085431298e-07
15844.88430481464; -3.23229899291800e-07
15900.54346448274; -3.52602716134298e-07
