Time; Heat_flow
1803.58126786685; 3.41333103510201e-07
2008.24435781475; 4.78779845366900e-07
2212.90744776265; -4.11631606259920e-06
2417.57053771054; -3.42248445096560e-06
2669.31080102087; -2.39522566390480e-06
2873.97389096876; -2.92867597596220e-06
3078.63698091665; -3.03005778035520e-06
3330.37724422699; -3.45118200987260e-06
3535.04033417489; -3.48071075240090e-06
3739.70342412277; -3.27859589649270e-06
3991.44368743311; -3.57655371643520e-06
4196.10677738100; -3.47523421497090e-06
4400.76986732890; -3.35590436130150e-06
4652.51013063924; -3.48046125271110e-06
4857.17322058713; -3.51112636339800e-06
5061.83631053502; -3.50130421921960e-06
5313.57657384535; -3.34997658976940e-06
5518.23966379325; -3.68567372126050e-06
5769.97992710358; -3.51640989194350e-06
5974.64301705147; -3.47173310592480e-06
6179.30610699937; -3.39244114130470e-06
6431.04637030970; -3.41546608517570e-06
6635.70946025759; -3.29184910396120e-06
6840.37255020549; -3.51956315644270e-06
7092.11281351583; -3.37449265189220e-06
7296.77590346372; -3.48676929348410e-06
7501.43899341162; -3.19150033285410e-06
7753.17925672195; -3.25844048742370e-06
7957.84234666984; -3.14511716220490e-06
8162.50543661773; -3.16214096078640e-06
8414.24569992807; -3.14136864126850e-06
8618.90878987596; -2.98720492502650e-06
8823.57187982386; -3.04821028757670e-06
9075.31214313419; -3.20526997954540e-06
9279.97523308208; -2.74532834475600e-06
9484.63832302998; -2.89833786055740e-06
9736.37858634031; -2.99290066032270e-06
9941.04167628821; -2.76825695197050e-06
10145.70476623610; -2.65615473689090e-06
10397.44502954643; -2.65963685952480e-06
10602.10811949433; -2.98725341905190e-06
10853.84838280466; -2.78984413465680e-06
11058.51147275255; -2.56306811554420e-06
11263.17456270045; -2.55593274543800e-06
11514.91482601078; -2.58811321166360e-06
11719.57791595867; -2.56841486199960e-06
11924.24100590657; -2.56654511744330e-06
12175.98126921690; -2.29858340394640e-06
12380.64435916479; -2.48822765976460e-06
12585.30744911269; -2.33389728896900e-06
12837.04771242302; -2.15330012370390e-06
13041.71080237092; -2.53919498534440e-06
13246.37389231881; -2.22952740945730e-06
13498.11415562914; -2.30085301676390e-06
13702.77724557704; -2.06136459872890e-06
13907.44033552493; -2.07934202661360e-06
14159.18059883526; -2.08344364175440e-06
14363.84368878316; -2.02986079269080e-06
14568.50677873105; -1.81683803517800e-06
14820.24704204139; -1.88799806792540e-06
15024.91013198928; -1.62008253826930e-06
15229.57322193717; -1.49721098585930e-06
15481.31348524751; -1.41239504002570e-06
15685.97657519540; -1.34816657013840e-06
15937.71683850573; -1.26002793529750e-06
16142.37992845363; -9.48673729756400e-07
16347.04301840152; -1.20434100561360e-06
16598.78328171185; -1.06917366314120e-06
16803.44637165975; -7.99658927976700e-07
17008.10946160764; -7.75542586850001e-07
17259.84972491798; -7.30557010426500e-07
17464.51281486588; -4.95542430509500e-07
17669.17590481377; -6.20205006054200e-07
17920.91616812409; -3.50024100515500e-07
18125.57925807199; -5.33512586353798e-07
18330.24234801989; -2.65133136963898e-07
18581.98261133023; -3.24207391627200e-07
18786.64570127811; -2.26252832107993e-08
18991.30879122601; -2.50483343235701e-07
19243.04905453634; 4.42386632072000e-08
19447.71214448423; -2.22546983885600e-07
19652.37523443213; 4.18313500352999e-08
19904.11549774247; 1.73333749946702e-07
20108.77858769035; 1.85460021286803e-07
20313.44167763825; 2.59912712758598e-07
20565.18194094858; 2.95855578559500e-07
20769.84503089648; 4.53810584840901e-07
21021.58529420681; 3.93668596494999e-07
21226.24838415471; 5.75332075982699e-07
21430.91147410260; 6.03407726990700e-07
21682.65173741293; 8.00099478607601e-07
21887.31482736082; 6.62785686462499e-07
