t;C
0;0.0
30;1.08077698712927E-06
60;9.10563772032083E-07
150;2.18873657407765E-06
300;4.54630384887435E-06
450;1.30049612920862E-05
600;1.80433633220322E-05
750;2.35927531339219E-05
1050;3.46527018913731E-05
1200;3.60055286845128E-05
1650;4.74333669376393E-05
1800;4.82933299063243E-05
