Time, s; Heat flow, Watt
2174.12916751661; 3.38918041716972e-05
2500.73385751123; 3.38306968081936e-05
2827.33854750585; 3.39990073546336e-05
3153.94323750046; 3.44770330962674e-05
3480.54792749508; 3.49732812056029e-05
3807.15261748970; 3.51791874244411e-05
4133.75730748432; 3.56739446874077e-05
4460.36199747894; 3.56843400742712e-05
4786.96668747356; 3.60141814684337e-05
5113.57137746817; 3.60542230950573e-05
5440.17606746279; 3.62983331934111e-05
5766.78075745741; 3.62851661307436e-05
6093.38544745203; 3.68293694839928e-05
6419.99013744665; 3.64726669507354e-05
6746.59482744127; 3.66156079541308e-05
7073.19951743588; 3.65208904158643e-05
7399.80420743050; 3.67064721535308e-05
7726.40889742512; 3.66049514501301e-05
8053.01358741974; 3.69289159515371e-05
8379.61827741436; 3.67698194022929e-05
8706.22296740898; 3.69128603365713e-05
9032.82765740360; 3.67392891452823e-05
9359.43234739821; 3.67304475319475e-05
9686.03703739283; 3.64290064331249e-05
10012.64172738745; 3.64715861818882e-05
10339.24641738207; 3.60361882865703e-05
10665.85110737669; 3.58478774775587e-05
10992.45579737131; 3.53956592552124e-05
11319.06048736592; 3.51144019278016e-05
11645.66517736054; 3.46103658969267e-05
11972.26986735516; 3.43483412199103e-05
12298.87455734978; 3.37398550502891e-05
12625.47924734440; 3.33720688038395e-05
12952.08393733902; 3.28239383394047e-05
13278.68862733364; 3.24168141314784e-05
13605.29331732825; 3.18390742565827e-05
13931.89800732287; 3.14406390729477e-05
14258.50269731749; 3.07437488135878e-05
14585.10738731211; 3.01608180501912e-05
14911.71207730673; 2.94526294685533e-05
15238.31676730135; 2.87841475926492e-05
15564.92145729596; 2.80023450703241e-05
15891.52614729058; 2.71943450082609e-05
16218.13083728520; 2.63649446997420e-05
16544.73552727982; 2.55484349134032e-05
16871.34021727444; 2.47748909517687e-05
17197.94490726905; 2.39658664859550e-05
17524.54959726367; 2.32361379673493e-05
17851.15428725829; 2.22500559742066e-05
18177.75897725291; 2.16167176550611e-05
