Summary
Name,"ACN-SuFEx-BSF-DBU-PhOH-T25-7-31-20.rslt"
Start time,2020 авг 01 - 16:11
End time,2020 авг 03 - 12:20
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\ACN-SuFEx-BSF-DBU-PhOH-T25-7-31-20.rslt"
General Experiment Info
Bath temperature,25°C
,Sample - Ch 1
Total mass,800mg
Name,"ACN-SuFEx-BSF-DBU-PhOH-T25"
,Component - PhOH
Mass,1.88mg
Name,"PhOH"
Physical shape,"Liquid"
Preparation,"Solve"
,Component - DCM+BSF+DBU
Name,"DCM+BSF+DBU"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-9725.84830021858,24.9999998278036,NaN,NaN,NaN,NaN,""
-9725.36229634285,24.9999998313022,3.22646601880276E-09,NaN,1.7162053291504E-06,NaN,""
-9699.35953068733,25.0000000184908,5.8833634143504E-09,NaN,3.12944862465447E-06,NaN,""
-9686.11519742012,25.0000001434267,6.15410648670448E-09,NaN,3.27346089718323E-06,NaN,""
-9672.87076115608,25.0000002683635,6.38362352056889E-09,NaN,3.39554442583452E-06,NaN,""
-9659.62642788887,25.0000001434054,7.17837846958453E-09,NaN,3.81828641999177E-06,NaN,""
-9646.38199162483,25.0000000184463,7.99466201658526E-09,NaN,4.25247979605599E-06,NaN,""
-9633.13765835762,24.9999999600971,8.97100259156749E-09,NaN,4.77180988913164E-06,NaN,""
-9619.893222332,24.9999999017475,9.95344407568117E-09,NaN,5.29438514663892E-06,NaN,""
-9606.64888906479,24.999999822869,1.03744493448786E-08,NaN,5.5183241196163E-06,NaN,""
-9593.40445280075,24.9999997439899,1.0774089972614E-08,NaN,5.73089892160318E-06,NaN,""
-9580.16011929512,24.9999998545754,1.0750059509671E-08,NaN,5.7181167604633E-06,NaN,""
-9566.9156832695,24.9999999651618,1.07099076427947E-08,NaN,5.69675938446525E-06,NaN,""
-9553.67134976387,25.000000039189,1.10580185948921E-08,NaN,5.88192478451707E-06,NaN,""
-9540.42691373825,25.0000001132167,1.14209029805306E-08,NaN,6.07494839389927E-06,NaN,""
-9527.18258047104,25.000000023043,1.23008090174762E-08,NaN,6.54298351993417E-06,NaN,""
-9513.938144207,24.9999999328687,1.32003868185526E-08,NaN,7.02148235029394E-06,NaN,""
-9500.69381070137,24.9999999643724,1.25988570625661E-08,NaN,6.70151971413091E-06,NaN,""
-9487.44937467575,24.9999999958764,1.19402411448585E-08,NaN,6.35119209832896E-06,NaN,""
-9474.20504140854,25.0000000430188,1.17657008238688E-08,NaN,6.25835150205788E-06,NaN,""
-9460.9606051445,25.0000000901616,1.16095625658737E-08,NaN,6.17529923716686E-06,NaN,""
-9447.71627163887,24.999999972097,1.02637880116443E-08,NaN,5.45946170832145E-06,NaN,""
-9434.47183561325,24.9999998540315,8.87278527886317E-09,NaN,4.71956663769317E-06,NaN,""
-9421.22750234604,24.9999999230564,7.81799690499662E-09,NaN,4.15850899201948E-06,NaN,""
-9407.98306632042,24.9999999920819,6.77597652651104E-09,NaN,3.60424283325055E-06,NaN,""
-9394.73873305321,25.0000000131505,7.11715723266114E-09,NaN,3.78572193226657E-06,NaN,""
-9381.49429678917,25.0000000342193,7.51089221601722E-09,NaN,3.99515543405171E-06,NaN,""
-9368.24996352196,24.9999999960814,8.74137793851783E-09,NaN,4.64966911623289E-06,NaN,""
-9355.00552725792,24.9999999579432,1.00036569895136E-08,NaN,5.32109414335831E-06,NaN,""
-9341.76119399071,25.000000085573,1.08344171460998E-08,NaN,5.7629878436701E-06,NaN,""
-9328.51675772667,25.0000002132038,1.16487966701029E-08,NaN,6.19616844154411E-06,NaN,""
-9315.27242445946,25.0000001319375,1.20110396990228E-08,NaN,6.38885090373553E-06,NaN,""
-9302.02798819542,25.0000000506705,1.23561191200093E-08,NaN,6.57240378723899E-06,NaN,""
-9288.78365492821,25.0000001619157,1.1572992623766E-08,NaN,6.15584714030105E-06,NaN,""
-9275.53921866417,25.0000002731616,1.07470340018489E-08,NaN,5.71650744779196E-06,NaN,""
-9262.29488539696,25.0000000484107,1.05898764743334E-08,NaN,5.63291301826247E-06,NaN,""
-9249.05044913292,24.9999998236581,1.04580992485181E-08,NaN,5.56281874921178E-06,NaN,""
-9235.80611586571,25.000000019254,9.65346553105353E-09,NaN,5.13482209098592E-06,NaN,""
-9222.56167960167,25.0000002148514,8.82329548001469E-09,NaN,4.69324227660356E-06,NaN,""
-9209.31734633446,24.9999999987055,7.22110873404009E-09,NaN,3.84101528406388E-06,NaN,""
-9196.07291030884,24.9999997825579,5.58962331599254E-09,NaN,2.97320389148539E-06,NaN,""
-9182.82857704163,25.0000001095258,4.04894826874324E-09,NaN,2.15369588762938E-06,NaN,""
-9169.58414077759,25.0000004364963,2.51170483878861E-09,NaN,1.3360132121216E-06,NaN,""
-9156.33980727196,25.0000001218249,2.75495985070452E-09,NaN,1.46540417590666E-06,NaN,""
-9143.09537124634,24.9999998071512,3.06572868106235E-09,NaN,1.63070674524593E-06,NaN,""
-9129.85103797913,24.9999999049102,3.1690355270325E-09,NaN,1.68565719523006E-06,NaN,""
-9116.60660171509,25.00000000267,3.26447852620919E-09,NaN,1.73642474798361E-06,NaN,""
-9103.36226820946,25.0000000155929,2.70746878002285E-09,NaN,1.44014296809726E-06,NaN,""
-9090.11783218384,25.0000000285159,2.12572616864848E-09,NaN,1.13070540885557E-06,NaN,""
-9076.87349867821,25.0000000096935,2.20047312141661E-09,NaN,1.17046442628543E-06,NaN,""
-9063.62906265259,24.999999990871,2.30009657616078E-09,NaN,1.22345562561743E-06,NaN,""
-9050.38472938538,24.999999950002,2.75810810032704E-09,NaN,1.4670787767697E-06,NaN,""
-9037.14029312134,24.9999999091327,3.22970046846593E-09,NaN,1.7179257810989E-06,NaN,""
-9023.89595961571,25.0000000602193,2.60877221885112E-09,NaN,1.38764479726123E-06,NaN,""
-9010.65152359009,25.0000002113069,1.94645914188835E-09,NaN,1.03535060738742E-06,NaN,""
-8997.40719032288,25.0000002038635,-5.66295339166653E-11,NaN,-3.01220925088645E-08,NaN,""
-8984.16275429726,25.0000001964199,-2.11050574670659E-09,NaN,-1.12260943973755E-06,NaN,""
-8970.91842103004,25.0000000373552,-5.95448892984129E-09,NaN,-3.16728134566026E-06,NaN,""
-8957.67398476601,24.9999998782893,-9.86627453544415E-09,NaN,-5.2480183699171E-06,NaN,""
-8944.42965149879,24.9999999096031,-1.11612536980348E-08,NaN,-5.93683707342278E-06,NaN,""
-8931.18521523476,24.9999999409171,-1.23571959387983E-08,NaN,-6.57297656319056E-06,NaN,""
-8917.94088196754,25.0000002890116,-1.11254900316234E-08,NaN,-5.9178138466082E-06,NaN,""
-8904.69644570351,25.0000006371089,-9.80190682957266E-09,NaN,-5.2137802284961E-06,NaN,""
-8891.45211243629,25.0000003297186,-9.69814610153223E-09,NaN,-5.15858835187885E-06,NaN,""
-8878.20767617226,25.000000022326,-9.64053498752974E-09,NaN,-5.12794414230305E-06,NaN,""
-8864.96334290504,25.0000001227285,-1.0186893865293E-08,NaN,-5.4185605666452E-06,NaN,""
-8851.71890664101,25.0000002231317,-1.07561025515625E-08,NaN,-5.72133114444813E-06,NaN,""
-8838.47457337379,25.0000000549215,-9.57608017431565E-09,NaN,-5.09365966718918E-06,NaN,""
-8825.23013710976,24.99999988671,-8.32989754841272E-09,NaN,-4.43079656830464E-06,NaN,""
-8811.98580384254,24.9999999864902,-7.03760639406543E-09,NaN,-3.74340765641778E-06,NaN,""
-8798.74136781693,25.0000000862712,-5.7435615318839E-09,NaN,-3.05508592121484E-06,NaN,""
-8785.49703431129,25.0000001173156,-4.98533910372373E-09,NaN,-2.65177611900199E-06,NaN,""
-8772.25259828568,25.0000001483602,-4.24736484251573E-09,NaN,-2.25923661835943E-06,NaN,""
-8759.00826501846,25.000000189732,-4.63561261815762E-09,NaN,-2.46575139263703E-06,NaN,""
-8745.76382875443,25.0000002311041,-5.0664256458531E-09,NaN,-2.6949072584325E-06,NaN,""
-8732.51949524879,25.0000001647808,-6.34754571717824E-09,NaN,-3.37635410488204E-06,NaN,""
-8719.27505922318,25.0000000984569,-7.66080372903177E-09,NaN,-4.07489560054882E-06,NaN,""
-8706.03072595596,25.0000001333011,-7.65463835548379E-09,NaN,-4.07161614653393E-06,NaN,""
-8692.78628969193,25.0000001681456,-7.59863143481439E-09,NaN,-4.04182523128425E-06,NaN,""
-8679.54195618629,25.0000000994913,-6.98928646049665E-09,NaN,-3.71770556409397E-06,NaN,""
-8666.29752016068,25.0000000308364,-6.35903875366395E-09,NaN,-3.38246742216167E-06,NaN,""
-8653.05318689346,24.999999967794,-5.73730420733683E-09,NaN,-3.05175755709406E-06,NaN,""
-8639.80875062943,24.9999999047511,-5.11588608784889E-09,NaN,-2.72121600417494E-06,NaN,""
-8626.56441712379,24.9999999861282,-5.03506512207069E-09,NaN,-2.67822612876101E-06,NaN,""
-8613.31998109818,25.0000000675059,-4.97465111598462E-09,NaN,-2.64609101914076E-06,NaN,""
-8600.07564759254,24.9999999321804,-5.30512605872864E-09,NaN,-2.82187556315353E-06,NaN,""
-8586.83121180534,24.9999997968539,-5.65035648996249E-09,NaN,-3.00550877125665E-06,NaN,""
-8573.58687853813,24.999999922631,-5.88807972825692E-09,NaN,-3.13195730226432E-06,NaN,""
-8560.34244227409,25.000000048409,-6.12174827116985E-09,NaN,-3.25624908040949E-06,NaN,""
-8547.09810900688,24.999999930239,-5.54520372918727E-09,NaN,-2.94957645169536E-06,NaN,""
-8533.85367274284,24.9999998120681,-4.938089198576E-09,NaN,-2.62664319073192E-06,NaN,""
-8520.60933947563,24.9999998082709,-3.8192969736583E-09,NaN,-2.03154094343526E-06,NaN,""
-8507.36490321159,24.9999998044737,-2.68119693424914E-09,NaN,-1.42616858204742E-06,NaN,""
-8494.12056994438,24.9999998248197,-2.77171104700683E-09,NaN,-1.47431438670576E-06,NaN,""
-8480.87613368034,24.9999998451658,-2.90855487687684E-09,NaN,-1.54710365791322E-06,NaN,""
-8467.63180041313,24.9999998310404,-2.84310354318895E-09,NaN,-1.51228911871753E-06,NaN,""
-8454.38736414909,24.9999998169148,-2.77002516278528E-09,NaN,-1.4734176397794E-06,NaN,""
-8441.14303088188,25.0000000260515,-2.75908164740932E-09,NaN,-1.46759662096241E-06,NaN,""
-8427.89859461784,25.0000002351897,-2.75048000621395E-09,NaN,-1.46302127990104E-06,NaN,""
-8414.65426135063,25.0000001718363,-3.13597997968778E-09,NaN,-1.66807445728073E-06,NaN,""
-8401.40982508659,25.0000001084824,-3.53633408438506E-09,NaN,-1.88102876828992E-06,NaN,""
-8388.16549181938,24.9999999138797,-3.1264284694138E-09,NaN,-1.66299386670947E-06,NaN,""
-8374.92105579376,24.9999997192754,-2.68599312336815E-09,NaN,-1.42871974647242E-06,NaN,""
-8361.67672228813,24.9999996755792,-2.33941019892527E-09,NaN,-1.24436712708791E-06,NaN,""
-8348.43228626251,24.9999996318825,-1.99635958630485E-09,NaN,-1.06189339697066E-06,NaN,""
-8335.1879529953,24.9999999089807,-1.239409865181E-09,NaN,-6.59260566585638E-07,NaN,""
-8321.94351673126,25.000000186081,-4.6686735570038E-10,NaN,-2.48333699840628E-07,NaN,""
-8308.69918322563,24.99999993652,3.84778182833237E-10,NaN,2.04669246187892E-07,NaN,""
-8295.45474720001,24.999999686957,1.23940877632919E-09,NaN,6.59259987409143E-07,NaN,""
-8282.2104139328,24.999999866009,-4.18906818618045E-10,NaN,-2.22822775860662E-07,NaN,""
-8268.96597766876,25.0000000450624,-2.17182670009221E-09,NaN,-1.15522696813415E-06,NaN,""
-8255.72164416313,24.9999998838552,-3.5899002756976E-09,NaN,-1.90952142324341E-06,NaN,""
-8242.47720813751,24.9999997226468,-4.99538394390277E-09,NaN,-2.65711911909722E-06,NaN,""
-8229.2328748703,24.9999998333809,-5.5429959698944E-09,NaN,-2.94840211164596E-06,NaN,""
-8215.98843860626,24.9999999441159,-6.05833524212884E-09,NaN,-3.22251874581321E-06,NaN,""
-8202.74410510063,25.0000001041006,-6.19958797767515E-09,NaN,-3.29765317961444E-06,NaN,""
-8189.49966907501,25.0000002640864,-6.32677007585141E-09,NaN,-3.36530323183586E-06,NaN,""
-8176.2553358078,25.0000000991606,-6.01766350443063E-09,NaN,-3.20088484278225E-06,NaN,""
-8163.01089978218,24.9999999342335,-5.69214650735624E-09,NaN,-3.02773750391289E-06,NaN,""
-8149.76656651497,24.999999922104,-5.24700382052367E-09,NaN,-2.79095947900195E-06,NaN,""
-8136.52213025093,24.9999999099743,-4.7973596579578E-09,NaN,-2.55178705210521E-06,NaN,""
-8123.27779698372,25.0000000327755,-5.02891585022749E-09,NaN,-2.67495523948271E-06,NaN,""
-8110.03336071968,25.0000001555776,-5.28608111576631E-09,NaN,-2.81174527434378E-06,NaN,""
-8096.78902745247,25.0000000043999,-6.02643937929692E-09,NaN,-3.20555286132815E-06,NaN,""
-8083.54459118843,24.9999998532211,-6.78496342280153E-09,NaN,-3.60902309723486E-06,NaN,""
-8070.30025792122,24.9999999849827,-6.55563329819344E-09,NaN,-3.48703898840077E-06,NaN,""
-8057.05582165718,25.0000001167454,-6.28918312561616E-09,NaN,-3.34531017320008E-06,NaN,""
-8043.81148838997,25.000000054282,-5.65003827079966E-09,NaN,-3.0053395057445E-06,NaN,""
-8030.56705212593,24.999999991818,-4.99688753588181E-09,NaN,-2.65791890206479E-06,NaN,""
-8017.32271885872,25.0000000632872,-5.10588821775798E-09,NaN,-2.71589798816914E-06,NaN,""
-8004.07828259468,25.0000001347568,-5.24351454581272E-09,NaN,-2.78910348181528E-06,NaN,""
-7990.83394932747,25.0000002191625,-5.35376485617465E-09,NaN,-2.84774726392269E-06,NaN,""
-7977.58951306343,25.0000003035688,-5.46298810099812E-09,NaN,-2.90584473457347E-06,NaN,""
-7964.34517979622,25.0000002793341,-5.45828664393355E-09,NaN,-2.90334395953912E-06,NaN,""
-7951.1007437706,25.0000002550992,-5.4493082877861E-09,NaN,-2.8985682381841E-06,NaN,""
-7937.85641050339,25.0000000901637,-5.35546849030577E-09,NaN,-2.8486534522903E-06,NaN,""
-7924.61197423935,24.9999999252269,-5.25844285059478E-09,NaN,-2.79704406946531E-06,NaN,""
-7911.36764073372,25.0000000227308,-3.97669485724142E-09,NaN,-2.11526322193693E-06,NaN,""
-7898.1232047081,25.0000001202354,-2.65048055212321E-09,NaN,-1.4098300809166E-06,NaN,""
-7884.87887120247,24.9999999993604,-1.89275155772741E-09,NaN,-1.00678274347203E-06,NaN,""
-7871.63443517685,24.9999998784845,-1.1563438109859E-09,NaN,-6.15076495205267E-07,NaN,""
-7858.39010190964,24.999999912721,-1.87294878735714E-09,NaN,-9.96249354977203E-07,NaN,""
-7845.1456656456,24.9999999469577,-2.64405870655361E-09,NaN,-1.40641420561362E-06,NaN,""
-7831.90133213997,25.0000001168491,-2.9177180131544E-09,NaN,-1.55197766657149E-06,NaN,""
-7818.65689611435,25.0000002867418,-3.17272544614739E-09,NaN,-1.6876199181635E-06,NaN,""
-7805.41256284714,25.0000000533246,-2.92549669819606E-09,NaN,-1.55611526499791E-06,NaN,""
-7792.1681265831,24.9999998199055,-2.65943663158657E-09,NaN,-1.41459395297158E-06,NaN,""
-7778.92379307747,24.9999998122252,-2.69972408882929E-09,NaN,-1.43602345150494E-06,NaN,""
-7765.67935705185,24.9999998045448,-2.75149457799435E-09,NaN,-1.46356094574167E-06,NaN,""
-7752.43502378464,24.9999997468067,-2.51599828043061E-09,NaN,-1.33829695767586E-06,NaN,""
-7739.19058775902,24.999999689068,-2.26973497913035E-09,NaN,-1.20730583996295E-06,NaN,""
-7725.94625449181,24.9999998552029,-2.06394351947905E-09,NaN,-1.09784229759524E-06,NaN,""
-7712.70181822777,25.000000021339,-1.85966671448266E-09,NaN,-9.89184422597158E-07,NaN,""
-7699.45748496056,25.000000025809,-1.8745775136596E-09,NaN,-9.97115698755107E-07,NaN,""
-7686.21304869652,25.0000000302791,-1.89769866393936E-09,NaN,-1.00941418294647E-06,NaN,""
-7672.96871542931,25.0000002211694,-2.00964965331505E-09,NaN,-1.06896258155056E-06,NaN,""
-7659.72427916527,25.0000004120611,-2.12492815231067E-09,NaN,-1.13028093208014E-06,NaN,""
-7646.47994589806,25.0000004085622,-2.30010179629222E-09,NaN,-1.22345840228309E-06,NaN,""
-7633.23550963402,25.0000004050632,-2.47751937864963E-09,NaN,-1.31782945672852E-06,NaN,""
