[1] "Exp-Zero"        "1.148104e-05"    "3.194254e-05"    "8.172058e-06"   
[5] "3.207834e+00"    "-2.352248e+00"   "SUFEX-Model2.R0"
Nelder-Mead Opt
pQ0=4.213e+00

Step1  Qn=2.667e-05  pQn=4.574027  pQmin=4.212663
[1] "Quality: 2221 2.666692e-05 4.574027"
  pQ=4.574027  Q=2.667e-05  dQ=0.000035  [1] 9.466139e-06 2.214563e-05 9.221416e-19 2.215072e+00 1.735489e+00
Step2  Qn=7.884e-06  pQn=5.103265  pQmin=4.574027
[1] "Quality: 2221 7.883782e-06 5.103265"
  pQ=5.103265  Q=7.884e-06  dQ=0.000019  [1] 1.331520e-05 3.620190e-05 8.350721e-13 2.766631e+00 4.371191e+00
Step3  Qn=7.692e-06  pQn=5.113958  pQmin=5.103265
[1] "Quality: 2221 7.692050e-06 5.113958"
  pQ=5.113958  Q=7.692e-06  dQ=0.000000  [1]  8.591825e-06 -4.549320e-05  3.324884e-15  4.420877e+00  3.255481e+00
Step4  Qn=2.203e-05  pQn=4.656994  pQmin=5.113958
Step5  Qn=7.819e-06  pQn=5.106858  pQmin=5.113958
Step6  Qn=8.277e-06  pQn=5.082116  pQmin=5.113958
Step7  Qn=8.470e-06  pQn=5.072105  pQmin=5.113958
Step8  Qn=7.812e-06  pQn=5.107265  pQmin=5.113958
Step9  Qn=1.088e-05  pQn=4.963570  pQmin=5.113958
Step10  Qn=7.582e-06  pQn=5.120245  pQmin=5.113958
[1] "Quality: 2221 7.581503e-06 5.120245"
  pQ=5.120245  Q=7.582e-06  dQ=0.000000  [1]  8.157045e-06  4.434706e-05 -1.709192e-14  4.497358e+00  1.635161e+00
Step11  Qn=7.685e-06  pQn=5.114337  pQmin=5.120245
Step12  Qn=8.146e-06  pQn=5.089054  pQmin=5.120245
Step13  Qn=7.695e-06  pQn=5.113784  pQmin=5.120245
Step14  Qn=8.645e-06  pQn=5.063230  pQmin=5.120245
Step15  Qn=8.137e-06  pQn=5.089539  pQmin=5.120245
Step16  Qn=7.749e-06  pQn=5.110781  pQmin=5.120245
Step17  Qn=9.150e-05  pQn=4.038568  pQmin=5.120245
Step18  Qn=7.765e-06  pQn=5.109832  pQmin=5.120245
Step19  Qn=1.343e-05  pQn=4.871874  pQmin=5.120245
Step20  Qn=7.710e-06  pQn=5.112930  pQmin=5.120245
Step21  Qn=7.663e-06  pQn=5.115576  pQmin=5.120245
Step22  Qn=3.106e-05  pQn=4.507808  pQmin=5.120245
Step23  Qn=4.753e-05  pQn=4.323023  pQmin=5.120245
Step24  Qn=9.654e-05  pQn=4.015281  pQmin=5.120245
Step25  Qn=9.073e-05  pQn=4.042259  pQmin=5.120245
Step26  Qn=8.989e-06  pQn=5.046266  pQmin=5.120245
Step27  Qn=7.948e-06  pQn=5.099753  pQmin=5.120245
Step28  Qn=1.277e-05  pQn=4.893752  pQmin=5.120245
Step29  Qn=7.588e-06  pQn=5.119875  pQmin=5.120245
Step30  Qn=7.746e-06  pQn=5.110943  pQmin=5.120245
Step31  Qn=7.598e-06  pQn=5.119301  pQmin=5.120245
Step32  Qn=8.059e-06  pQn=5.093731  pQmin=5.120245
Step33  Qn=7.973e-06  pQn=5.098404  pQmin=5.120245
Step34  Qn=8.139e-06  pQn=5.089449  pQmin=5.120245
Step35  Qn=7.775e-06  pQn=5.109311  pQmin=5.120245
Step36  Qn=8.813e-06  pQn=5.054872  pQmin=5.120245
Step37  Qn=9.132e-06  pQn=5.039431  pQmin=5.120245
Step38  Qn=7.778e-06  pQn=5.109149  pQmin=5.120245
Step39  Qn=7.838e-06  pQn=5.105781  pQmin=5.120245
Step40  Qn=7.931e-06  pQn=5.100683  pQmin=5.120245
Step41  Qn=8.189e-06  pQn=5.086772  pQmin=5.120245
Step42  Qn=1.120e-05  pQn=4.950662  pQmin=5.120245
Step43  Qn=7.860e-06  pQn=5.104563  pQmin=5.120245
Step44  Qn=7.614e-06  pQn=5.118406  pQmin=5.120245
Step45  Qn=8.582e-06  pQn=5.066411  pQmin=5.120245
Step46  Qn=7.587e-06  pQn=5.119931  pQmin=5.120245
Step47  Qn=8.181e-06  pQn=5.087174  pQmin=5.120245
Step48  Qn=1.165e-05  pQn=4.933562  pQmin=5.120245
Step49  Qn=9.886e-06  pQn=5.004963  pQmin=5.120245
Step50  Qn=7.892e-06  pQn=5.102807  pQmin=5.120245
Step51  Qn=7.659e-06  pQn=5.115805  pQmin=5.120245
Step52  Qn=8.801e-06  pQn=5.055492  pQmin=5.120245
Step53  Qn=8.009e-06  pQn=5.096430  pQmin=5.120245
Step54  Qn=1.780e-05  pQn=4.749647  pQmin=5.120245
Step55  Qn=7.595e-06  pQn=5.119462  pQmin=5.120245
Step56  Qn=8.024e-06  pQn=5.095609  pQmin=5.120245
Step57  Qn=7.595e-06  pQn=5.119456  pQmin=5.120245
Step58  Qn=7.800e-06  pQn=5.107904  pQmin=5.120245
Step59  Qn=7.611e-06  pQn=5.118546  pQmin=5.120245
Step60  Qn=7.654e-06  pQn=5.116120  pQmin=5.120245
Step61  Qn=1.219e-05  pQn=4.913991  pQmin=5.120245
Step62  Qn=7.844e-06  pQn=5.105450  pQmin=5.120245
Step63  Qn=7.604e-06  pQn=5.118946  pQmin=5.120245
Step64  Qn=7.875e-06  pQn=5.103733  pQmin=5.120245
Step65  Qn=3.508e-05  pQn=4.454884  pQmin=5.120245
Step66  Qn=7.849e-06  pQn=5.105176  pQmin=5.120245
Step67  Qn=7.676e-06  pQn=5.114886  pQmin=5.120245
Step68  Qn=7.752e-06  pQn=5.110560  pQmin=5.120245
Step69  Qn=8.198e-06  pQn=5.086308  pQmin=5.120245
Step70  Qn=8.291e-06  pQn=5.081410  pQmin=5.120245
Step71  Qn=7.919e-06  pQn=5.101318  pQmin=5.120245
Step72  Qn=3.274e-05  pQn=4.484883  pQmin=5.120245
Step73  Qn=9.304e-06  pQn=5.031319  pQmin=5.120245
Step74  Qn=2.805e-05  pQn=4.552115  pQmin=5.120245
Step75  Qn=8.028e-06  pQn=5.095396  pQmin=5.120245
Step76  Qn=8.194e-06  pQn=5.086499  pQmin=5.120245
Step77  Qn=7.599e-06  pQn=5.119225  pQmin=5.120245
Step78  Qn=1.059e-05  pQn=4.974981  pQmin=5.120245
Step79  Qn=1.234e-05  pQn=4.908669  pQmin=5.120245
Step80  Qn=7.560e-06  pQn=5.121457  pQmin=5.120245
[1] "Quality: 2221 7.560369e-06 5.121457"
  pQ=5.121457  Q=7.560e-06  dQ=0.000000  [1]  7.665474e-06  4.518168e-05 -7.094429e-13  4.785603e+00  3.797932e+00
Step81  Qn=8.177e-06  pQn=5.087380  pQmin=5.121457
Step82  Qn=7.755e-06  pQn=5.110428  pQmin=5.121457
Step83  Qn=7.865e-06  pQn=5.104294  pQmin=5.121457
Step84  Qn=7.836e-06  pQn=5.105891  pQmin=5.121457
Step85  Qn=7.721e-06  pQn=5.112314  pQmin=5.121457
Step86  Qn=2.106e-05  pQn=4.676573  pQmin=5.121457
Step87  Qn=8.485e-06  pQn=5.071343  pQmin=5.121457
Step88  Qn=7.916e-06  pQn=5.101474  pQmin=5.121457
Step89  Qn=7.874e-06  pQn=5.103830  pQmin=5.121457
Step90  Qn=7.735e-06  pQn=5.111515  pQmin=5.121457
Step91  Qn=1.302e-05  pQn=4.885244  pQmin=5.121457
Step92  Qn=1.390e-05  pQn=4.856923  pQmin=5.121457
Step93  Qn=7.682e-06  pQn=5.114512  pQmin=5.121457
Step94  Qn=1.232e-05  pQn=4.909228  pQmin=5.121457
Step95  Qn=8.366e-06  pQn=5.077496  pQmin=5.121457
Step96  Qn=7.815e-06  pQn=5.107048  pQmin=5.121457
Step97  Qn=1.144e-05  pQn=4.941386  pQmin=5.121457
Step98  Qn=7.665e-06  pQn=5.115474  pQmin=5.121457
Step99  Qn=8.087e-06  pQn=5.092214  pQmin=5.121457
Step100  Qn=8.508e-06  pQn=5.070191  pQmin=5.121457
Step101  Qn=8.924e-06  pQn=5.049458  pQmin=5.121457
Step102  Qn=9.193e-06  pQn=5.036536  pQmin=5.121457
Step103  Qn=7.559e-06  pQn=5.121529  pQmin=5.121457
[1] "Quality: 2221 7.559124e-06 5.121529"
  pQ=5.121529  Q=7.559e-06  dQ=0.000000  [1]  7.633328e-06  4.526705e-05 -1.405067e-11  4.804865e+00  1.773631e+00
Step104  Qn=9.265e-06  pQn=5.033138  pQmin=5.121529
Step105  Qn=7.959e-06  pQn=5.099124  pQmin=5.121529
Step106  Qn=7.705e-06  pQn=5.113202  pQmin=5.121529
Step107  Qn=7.767e-06  pQn=5.109754  pQmin=5.121529
Step108  Qn=8.293e-06  pQn=5.081284  pQmin=5.121529
Step109  Qn=7.637e-06  pQn=5.117087  pQmin=5.121529
Step110  Qn=8.391e-06  pQn=5.076173  pQmin=5.121529
Step111  Qn=5.155e-05  pQn=4.287748  pQmin=5.121529
Step112  Qn=7.861e-06  pQn=5.104517  pQmin=5.121529
Step113  Qn=8.020e-06  pQn=5.095802  pQmin=5.121529
Step114  Qn=1.942e-05  pQn=4.711796  pQmin=5.121529
Step115  Qn=7.954e-06  pQn=5.099398  pQmin=5.121529
Step116  Qn=1.702e-05  pQn=4.769125  pQmin=5.121529
Step117  Qn=7.713e-06  pQn=5.112802  pQmin=5.121529
Step118  Qn=7.579e-06  pQn=5.120374  pQmin=5.121529
Step119  Qn=7.746e-06  pQn=5.110905  pQmin=5.121529
Step120  Qn=8.879e-06  pQn=5.051636  pQmin=5.121529
Step121  Qn=1.144e-05  pQn=4.941686  pQmin=5.121529
Step122  Qn=7.709e-06  pQn=5.113014  pQmin=5.121529
Step123  Qn=8.189e-06  pQn=5.086795  pQmin=5.121529
Step124  Qn=7.855e-06  pQn=5.104828  pQmin=5.121529
Step125  Qn=8.486e-06  pQn=5.071304  pQmin=5.121529
Step126  Qn=9.178e-05  pQn=4.037265  pQmin=5.121529
Step127  Qn=1.084e-05  pQn=4.964913  pQmin=5.121529
Step128  Qn=1.800e-05  pQn=4.744765  pQmin=5.121529
Step129  Qn=1.228e-05  pQn=4.910861  pQmin=5.121529
Step130  Qn=7.753e-06  pQn=5.110517  pQmin=5.121529
Step131  Qn=8.980e-06  pQn=5.046713  pQmin=5.121529
Step132  Qn=7.962e-06  pQn=5.098960  pQmin=5.121529
Step133  Qn=7.813e-06  pQn=5.107184  pQmin=5.121529
Step134  Qn=8.228e-06  pQn=5.084729  pQmin=5.121529
Step135  Qn=1.132e-05  pQn=4.946216  pQmin=5.121529
Step136  Qn=8.379e-06  pQn=5.076800  pQmin=5.121529
Step137  Qn=8.017e-06  pQn=5.095962  pQmin=5.121529
Step138  Qn=7.983e-06  pQn=5.097848  pQmin=5.121529
Step139  Qn=9.315e-05  pQn=4.030812  pQmin=5.121529
Step140  Qn=9.095e-06  pQn=5.041213  pQmin=5.121529
Step141  Qn=8.922e-06  pQn=5.049523  pQmin=5.121529
Step142  Qn=8.598e-06  pQn=5.065583  pQmin=5.121529
Step143  Qn=8.561e-06  pQn=5.067489  pQmin=5.121529
Step144  Qn=1.743e-05  pQn=4.758741  pQmin=5.121529
Step145  Qn=9.685e-05  pQn=4.013903  pQmin=5.121529
Step146  Qn=7.788e-06  pQn=5.108595  pQmin=5.121529
Step147  Qn=7.750e-06  pQn=5.110706  pQmin=5.121529
Step148  Qn=8.239e-06  pQn=5.084113  pQmin=5.121529
Step149  Qn=7.720e-06  pQn=5.112390  pQmin=5.121529
Step150  Qn=7.767e-06  pQn=5.109733  pQmin=5.121529
Step151  Qn=7.605e-06  pQn=5.118875  pQmin=5.121529
Step152  Qn=2.233e-05  pQn=4.651134  pQmin=5.121529
Step153  Qn=7.590e-06  pQn=5.119763  pQmin=5.121529
Step154  Qn=1.059e-05  pQn=4.975208  pQmin=5.121529
Step155  Qn=1.762e-05  pQn=4.753894  pQmin=5.121529
Step156  Qn=8.555e-06  pQn=5.067769  pQmin=5.121529
Step157  Qn=7.752e-06  pQn=5.110613  pQmin=5.121529
Step158  Qn=1.680e-05  pQn=4.774607  pQmin=5.121529
Step159  Qn=1.905e-05  pQn=4.720166  pQmin=5.121529
Step160  Qn=7.595e-06  pQn=5.119481  pQmin=5.121529
Step161  Qn=9.673e-05  pQn=4.014444  pQmin=5.121529
Step162  Qn=8.903e-05  pQn=4.050444  pQmin=5.121529
Step163  Qn=7.646e-06  pQn=5.116584  pQmin=5.121529
Step164  Qn=7.679e-06  pQn=5.114701  pQmin=5.121529
Step165  Qn=8.127e-06  pQn=5.090090  pQmin=5.121529
Step166  Qn=8.284e-06  pQn=5.081771  pQmin=5.121529
Step167  Qn=7.944e-06  pQn=5.099944  pQmin=5.121529
Step168  Qn=1.824e-05  pQn=4.738948  pQmin=5.121529
Step169  Qn=1.747e-05  pQn=4.757785  pQmin=5.121529
Step170  Qn=7.726e-06  pQn=5.112069  pQmin=5.121529
Step171  Qn=8.404e-06  pQn=5.075492  pQmin=5.121529
Step172  Qn=8.033e-06  pQn=5.095135  pQmin=5.121529
Step173  Qn=8.402e-06  pQn=5.075599  pQmin=5.121529
Step174  Qn=7.609e-06  pQn=5.118684  pQmin=5.121529
Step175  Qn=8.048e-06  pQn=5.094307  pQmin=5.121529
Step176  Qn=7.900e-06  pQn=5.102366  pQmin=5.121529
Step177  Qn=7.827e-06  pQn=5.106417  pQmin=5.121529
Step178  Qn=7.846e-06  pQn=5.105365  pQmin=5.121529
Step179  Qn=7.732e-06  pQn=5.111710  pQmin=5.121529
Step180  Qn=7.779e-06  pQn=5.109103  pQmin=5.121529
Step181  Qn=9.424e-06  pQn=5.025769  pQmin=5.121529
Step182  Qn=8.395e-06  pQn=5.075997  pQmin=5.121529
Step183  Qn=8.063e-06  pQn=5.093492  pQmin=5.121529
Step184  Qn=8.647e-06  pQn=5.063132  pQmin=5.121529
Step185  Qn=7.816e-06  pQn=5.107030  pQmin=5.121529
Step186  Qn=7.850e-06  pQn=5.105149  pQmin=5.121529
Step187  Qn=7.683e-06  pQn=5.114441  pQmin=5.121529
Step188  Qn=7.583e-06  pQn=5.120171  pQmin=5.121529
Step189  Qn=8.368e-06  pQn=5.077372  pQmin=5.121529
Step190  Qn=9.065e-06  pQn=5.042618  pQmin=5.121529
Step191  Qn=7.407e-05  pQn=4.130348  pQmin=5.121529
Step192  Qn=8.356e-06  pQn=5.077978  pQmin=5.121529
Step193  Qn=1.209e-05  pQn=4.917681  pQmin=5.121529
Step194  Qn=1.687e-05  pQn=4.772833  pQmin=5.121529
Step195  Qn=7.660e-06  pQn=5.115743  pQmin=5.121529
Step196  Qn=1.186e-05  pQn=4.925736  pQmin=5.121529
Step197  Qn=1.124e-05  pQn=4.949382  pQmin=5.121529
Step198  Qn=7.744e-06  pQn=5.111015  pQmin=5.121529
Step199  Qn=7.702e-06  pQn=5.113396  pQmin=5.121529
Step200  Qn=8.157e-06  pQn=5.088490  pQmin=5.121529
Step201  Qn=7.843e-06  pQn=5.105502  pQmin=5.121529
Step202  Qn=8.788e-06  pQn=5.056089  pQmin=5.121529
Step203  Qn=2.818e-05  pQn=4.550029  pQmin=5.121529
Step204  Qn=3.558e-05  pQn=4.448810  pQmin=5.121529
Step205  Qn=9.392e-06  pQn=5.027234  pQmin=5.121529
Step206  Qn=9.304e-05  pQn=4.031331  pQmin=5.121529
Step207  Qn=9.169e-06  pQn=5.037662  pQmin=5.121529
Step208  Qn=7.788e-06  pQn=5.108587  pQmin=5.121529
Step209  Qn=1.241e-05  pQn=4.906218  pQmin=5.121529
