t;C
0;0.0
30;2.92952293448046E-05
60;5.12435121529058E-05
120;9.98502776730721E-05
150;0.000111535725197
180;0.000120968306936
240;0.000166307366489
300;0.000176791468711
360;0.000219887441885
450;0.000265681762167
540;0.000283591406296
600;0.000321472022917
750;0.000359015182108
1050;0.000467817367059
