t;C
0;0.0
30;0.000240652795164
60;0.000202070170224
150;0.000497581796598
300;0.001074104930256
450;0.003388268843676
600;0.004895734610982
750;0.006634852650671
1050;0.010283373622142
1200;0.010743031799654
1650;0.014716986304619
1800;0.015021851793276
