t;C
0;0.0
30;0.011524765427456
60;0.028087164808574
120;0.027562357329949
150;0.030399715771881
180;0.028013417705232
240;0.026761477574056
300;0.027647336863721
450;0.027036464370074
600;0.031252097565892
750;0.023616555987376
900;0.020157269287441
