t;C
0;0.0
30;4.48194960827349E-06
60;2.12823344076878E-05
120;4.66069430697161E-05
180;8.02483541287403E-05
240;5.22181149975306E-05
360;7.63128413878591E-05
420;7.71315069565019E-05
480;7.95120820846467E-05
540;7.31323161536692E-05
600;7.12706116089036E-05
750;6.54035073891824E-05
900;7.38588993138348E-05
1050;7.37974809241495E-05
