; v1; ; ; ; v2; ; ; ; v3; ; ; ; v4; ; ; ; v5; ; ; ;
t; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum;
30;  14870.6;  2166.8;  0.0;  17037.4;  11192.1;  0.0;  0.0;  11192.1;  11932.5;  0.0;  0.0;  11932.5;  8681.4;  0.0;  0.0;  8681.4;  6724.8;  1087.3;  0.0;  7812.1; 
60;  42341.9;  9148.5;  0.0;  51490.3;  37648.3;  5143.9;  0.0;  42792.2;  37611.7;  6925.6;  0.0;  44537.3;  34339.3;  5129.0;  0.0;  39468.2;  18447.0;  1815.4;  0.0;  20262.4; 
120;  57955.5;  13422.8;  0.0;  71378.3;  62031.1;  12272.4;  0.0;  74303.5;  50396.9;  11470.6;  0.0;  61867.5;  59513.2;  13296.6;  0.0;  72809.7;  52834.7;  9985.5;  0.0;  62820.2; 
180;  85724.1;  14687.1;  0.0;  100411.2;  80177.9;  13801.9;  0.0;  93979.8;  79094.2;  12377.9;  0.0;  91472.2;  86348.8;  22944.0;  0.0;  109292.8;  79011.4;  13786.3;  0.0;  92797.7; 
240;  65479.6;  11747.1;  0.0;  77226.7;  61965.3;  5924.1;  0.0;  67889.4;  64388.0;  9909.4;  0.0;  74297.5;  76848.9;  12533.5;  0.0;  89382.5;  53954.2;  7272.4;  0.0;  61226.5; 
360;  92182.2;  8899.8;  0.0;  101082.0;  84238.9;  10233.3;  0.0;  94472.2;  75496.5;  9400.6;  0.0;  84897.1;  102240.8;  15228.6;  0.0;  117469.5;  67932.3;  6573.2;  273.6;  74779.1; 
420;  94036.7;  11620.3;  0.0;  105657.0;  88220.0;  10565.2;  0.0;  98785.2;  77579.6;  12949.5;  0.0;  90529.1;  102951.1;  14947.4;  0.0;  117898.4;  59550.7;  3482.2;  0.0;  63032.9; 
480;  77237.7;  6101.4;  0.0;  83339.1;  97397.1;  10892.0;  0.0;  108289.1;  78499.8;  7255.1;  0.0;  85754.9;  105413.2;  12878.1;  0.0;  118291.3;  80762.9;  8689.6;  0.0;  89452.5; 
540;  83858.3;  11274.8;  0.0;  95133.2;  89766.4;  12623.1;  0.0;  102389.5;  59277.7;  5364.7;  0.0;  64642.4;  104663.5;  13899.4;  0.0;  118562.9;  72031.2;  7344.1;  0.0;  79375.3; 
600;  97737.6;  7214.0;  0.0;  104951.6;  96722.6;  12236.1;  0.0;  108958.7;  64415.0;  9890.0;  0.0;  74305.0;  86275.5;  9928.3;  0.0;  96203.8;  63418.6;  4774.2;  0.0;  68192.9; 
750;  78317.1;  6003.3;  0.0;  84320.3;  88103.1;  5470.8;  0.0;  93573.8;  75668.6;  9139.6;  0.0;  84808.1;  84409.2;  8064.9;  0.0;  92474.1;  67338.7;  5876.7;  0.0;  73215.5; 
900;  80875.5;  11157.5;  0.0;  92033.0;  84303.5;  11059.8;  0.0;  95363.3;  76728.6;  8584.9;  0.0;  85313.5;  88531.6;  12544.6;  0.0;  101076.2;  78957.3;  10259.7;  0.0;  89217.0; 
1050;  82821.9;  8156.5;  0.0;  90978.4;  92187.5;  8477.9;  0.0;  100665.5;  76759.5;  3981.1;  0.0;  80740.6;  90342.4;  8590.3;  0.0;  98932.7;  86376.3;  5064.9;  0.0;  91441.2; 
