[1] "Exp-Zero"             "1.520929e-04"         "7.267775e-07"        
[4] "1.353176e-04"         "1.598054e-01"         "5.976505e-01"        
[7] "SUFEX-Model2-SANN.R0"
SANN Opt
Q0=5.072e-05

Step806  Qn=2.218e-05
Step807  Qn=3.606e-05
Step808  Qn=2.386e-05
Step809  Qn=1.963e-05
Step810  Qn=1.392e-05
Step811  Qn=3.082e-05
Step812  Qn=2.169e-05
Step813  Qn=3.949e-05
Step814  Qn=1.234e-05
Step815  Qn=1.268e-05
Step816  Qn=2.606e-05
Step817  Qn=2.354e-05
Step818  Qn=1.155e-05
Step819  Qn=2.846e-05
Step820  Qn=1.339e-05
Step821  Qn=2.193e-05
Step822  Qn=9.908e-06
Step823  Qn=1.013e-05
Step824  Qn=2.122e-05
Step825  Qn=3.503e-05
Step826  Qn=1.827e-05
Step827  Qn=1.310e-05
Step828  Qn=1.740e-05
Step829  Qn=2.396e-05
Step830  Qn=1.211e-05
Step831  Qn=3.917e-05
Step832  Qn=1.343e-05
Step833  Qn=1.742e-05
Step834  Qn=1.479e-05
Step835  Qn=1.478e-05
Step836  Qn=3.134e-05
Step837  Qn=1.863e-05
Step838  Qn=2.991e-05
Step839  Qn=2.687e-05
Step840  Qn=1.372e-05
Step841  Qn=4.594e-05
Step842  Qn=3.604e-05
Step843  Qn=1.775e-05
Step844  Qn=1.850e-05
Step845  Qn=1.799e-05
Step846  Qn=2.056e-05
Step847  Qn=3.079e-05
Step848  Qn=1.564e-05
Step849  Qn=1.529e-05
Step850  Qn=1.506e-05
Step851  Qn=1.871e-05
Step852  Qn=2.165e-05
Step853  Qn=4.180e-05
Step854  Qn=1.521e-05
Step855  Qn=1.518e-05
Step856  Qn=1.922e-05
Step857  Qn=3.428e-05
Step858  Qn=3.598e-05
Step859  Qn=1.126e-05
Step860  Qn=2.165e-05
Step861  Qn=1.932e-05
Step862  Qn=4.040e-05
Step863  Qn=3.564e-05
Step864  Qn=2.206e-05
Step865  Qn=1.910e-05
Step866  Qn=1.685e-05
Step867  Qn=1.240e-05
Step868  Qn=3.121e-05
Step869  Qn=1.223e-05
Step870  Qn=3.271e-05
Step871  Qn=1.644e-05
Step872  Qn=2.527e-05
Step873  Qn=3.177e-05
Step874  Qn=1.468e-05
Step875  Qn=3.132e-05
Step876  Qn=2.735e-05
Step877  Qn=2.364e-05
Step878  Qn=1.952e-05
Step879  Qn=1.819e-05
Step880  Qn=3.296e-05
Step881  Qn=1.909e-05
Step882  Qn=2.025e-05
Step883  Qn=3.952e-05
Step884  Qn=3.708e-05
Step885  Qn=1.703e-05
Step886  Qn=1.262e-05
Step887  Qn=2.521e-05
Step888  Qn=1.001e-05
Step889  Qn=3.979e-05
Step890  Qn=3.788e-05
Step891  Qn=3.083e-05
Step892  Qn=2.457e-05
Step893  Qn=2.370e-05
Step894  Qn=2.395e-05
Step895  Qn=3.744e-05
Step896  Qn=5.253e-05
Step897  Qn=2.886e-05
Step898  Qn=1.704e-05
Step899  Qn=2.019e-05
Step900  Qn=2.800e-05
Step901  Qn=2.529e-05
Step902  Qn=3.163e-05
Step903  Qn=1.142e-05
Step904  Qn=2.590e-05
Step905  Qn=1.518e-05
Step906  Qn=1.414e-05
Step907  Qn=1.624e-05
Step908  Qn=1.681e-05
Step909  Qn=1.759e-05
Step910  Qn=1.715e-05
Step911  Qn=1.720e-05
Step912  Qn=1.026e-05
Step913  Qn=2.119e-05
Step914  Qn=1.636e-05
Step915  Qn=2.191e-05
Step916  Qn=2.193e-05
Step917  Qn=1.787e-05
Step918  Qn=2.819e-05
Step919  Qn=1.537e-05
Step920  Qn=1.905e-05
Step921  Qn=6.438e-05
Step922  Qn=2.334e-05
Step923  Qn=4.450e-05
Step924  Qn=2.494e-05
Step925  Qn=4.734e-05
Step926  Qn=1.235e-05
Step927  Qn=3.246e-05
Step928  Qn=2.397e-05
Step929  Qn=1.390e-05
Step930  Qn=9.766e-06
Step931  Qn=1.420e-05
Step932  Qn=1.536e-05
Step933  Qn=1.299e-05
Step934  Qn=4.784e-05
Step935  Qn=1.546e-05
Step936  Qn=2.679e-05
Step937  Qn=2.726e-05
Step938  Qn=2.405e-05
Step939  Qn=5.245e-05
Step940  Qn=2.481e-05
Step941  Qn=9.400e-06
[1] "Quality: 2221 9.399724e-06"
  Q=9.400e-06  dQ=0.000000  [1] 1.605202e-04 1.846754e-07 1.417571e-04 1.140674e-01 6.312814e-01
Step942  Qn=3.132e-05
Step943  Qn=2.131e-05
Step944  Qn=4.696e-05
Step945  Qn=3.375e-05
Step946  Qn=1.471e-05
Step947  Qn=1.244e-05
Step948  Qn=2.796e-05
Step949  Qn=1.294e-05
Step950  Qn=1.125e-05
Step951  Qn=1.438e-05
Step952  Qn=1.804e-05
Step953  Qn=1.351e-05
Step954  Qn=1.566e-05
Step955  Qn=2.675e-05
Step956  Qn=2.215e-05
Step957  Qn=1.924e-05
Step958  Qn=2.442e-05
Step959  Qn=1.329e-05
Step960  Qn=3.327e-05
Step961  Qn=2.156e-05
Step962  Qn=1.823e-05
Step963  Qn=1.141e-05
Step964  Qn=1.340e-05
Step965  Qn=1.356e-05
Step966  Qn=4.766e-05
Step967  Qn=1.619e-05
Step968  Qn=2.401e-05
Step969  Qn=2.939e-05
Step970  Qn=9.293e-06
[1] "Quality: 2221 9.292664e-06"
  Q=9.293e-06  dQ=0.000000  [1] 1.749271e-04 1.686182e-07 1.290515e-04 1.521536e-01 5.672888e-01
Step971  Qn=3.127e-05
Step972  Qn=2.480e-05
Step973  Qn=1.332e-05
Step974  Qn=1.003e-05
Step975  Qn=2.312e-05
Step976  Qn=1.115e-05
Step977  Qn=1.609e-05
Step978  Qn=1.731e-05
Step979  Qn=2.374e-05
Step980  Qn=9.819e-06
Step981  Qn=2.964e-05
Step982  Qn=2.313e-05
Step983  Qn=1.528e-05
Step984  Qn=1.709e-05
Step985  Qn=2.803e-05
Step986  Qn=1.054e-05
Step987  Qn=9.675e-06
Step988  Qn=1.109e-05
Step989  Qn=3.668e-05
Step990  Qn=1.209e-05
Step991  Qn=2.165e-05
Step992  Qn=1.584e-05
Step993  Qn=2.066e-05
Step994  Qn=2.077e-05
Step995  Qn=1.073e-05
Step996  Qn=3.176e-05
Step997  Qn=1.135e-05
Step998  Qn=3.910e-05
Step999  Qn=1.317e-05
Step1000  Qn=1.858e-05
Step1001  Qn=1.589e-05
Step1002  Qn=2.038e-05
Step1003  Qn=1.981e-05
Step1004  Qn=2.344e-05
Step1005  Qn=3.146e-05
Step1006  Qn=1.979e-05
Step1007  Qn=2.176e-05
Step1008  Qn=2.851e-05
Step1009  Qn=1.001e-05
Step1010  Qn=1.542e-05
Step1011  Qn=2.158e-05
Step1012  Qn=1.325e-05
Step1013  Qn=3.795e-05
Step1014  Qn=3.526e-05
Step1015  Qn=1.355e-05
Step1016  Qn=1.011e-05
Step1017  Qn=2.008e-05
Step1018  Qn=1.185e-05
Step1019  Qn=1.924e-05
Step1020  Qn=1.355e-05
Step1021  Qn=1.630e-05
Step1022  Qn=1.062e-05
Step1023  Qn=1.487e-05
Step1024  Qn=2.705e-05
Step1025  Qn=1.074e-05
Step1026  Qn=1.135e-05
Step1027  Qn=2.876e-05
Step1028  Qn=3.546e-05
Step1029  Qn=1.110e-05
Step1030  Qn=2.166e-05
Step1031  Qn=2.362e-05
Step1032  Qn=1.042e-05
Step1033  Qn=8.699e-05
Step1034  Qn=1.146e-05
Step1035  Qn=2.679e-05
Step1036  Qn=1.235e-05
Step1037  Qn=1.902e-05
Step1038  Qn=2.217e-05
Step1039  Qn=1.929e-05
Step1040  Qn=2.202e-05
Step1041  Qn=2.743e-05
Step1042  Qn=1.804e-05
Step1043  Qn=1.981e-05
Step1044  Qn=1.868e-05
Step1045  Qn=2.093e-05
Step1046  Qn=9.150e-06
[1] "Quality: 2221 9.150171e-06"
  Q=9.150e-06  dQ=0.000000  [1] 1.458908e-04 2.168841e-07 1.365721e-04 1.836230e-01 5.568116e-01
Step1047  Qn=3.501e-05
Step1048  Qn=1.470e-05
Step1049  Qn=1.541e-05
Step1050  Qn=1.181e-05
Step1051  Qn=1.598e-05
Step1052  Qn=1.922e-05
Step1053  Qn=1.991e-05
Step1054  Qn=1.209e-05
Step1055  Qn=2.006e-05
Step1056  Qn=4.730e-05
Step1057  Qn=2.458e-05
Step1058  Qn=2.383e-05
Step1059  Qn=1.070e-05
Step1060  Qn=2.642e-05
Step1061  Qn=4.115e-05
Step1062  Qn=2.075e-05
Step1063  Qn=2.577e-05
Step1064  Qn=1.746e-05
Step1065  Qn=2.169e-05
Step1066  Qn=7.448e-05
Step1067  Qn=1.768e-05
Step1068  Qn=1.422e-05
Step1069  Qn=1.754e-05
Step1070  Qn=2.733e-05
Step1071  Qn=2.229e-05
Step1072  Qn=1.042e-05
Step1073  Qn=3.613e-05
Step1074  Qn=1.369e-05
Step1075  Qn=1.341e-05
Step1076  Qn=1.501e-05
Step1077  Qn=1.557e-05
Step1078  Qn=1.138e-05
Step1079  Qn=1.842e-05
Step1080  Qn=3.252e-05
Step1081  Qn=1.941e-05
Step1082  Qn=1.634e-05
Step1083  Qn=2.822e-05
Step1084  Qn=2.043e-05
Step1085  Qn=2.626e-05
Step1086  Qn=1.650e-05
Step1087  Qn=1.710e-05
Step1088  Qn=1.319e-05
Step1089  Qn=1.531e-05
Step1090  Qn=3.703e-05
Step1091  Qn=1.983e-05
Step1092  Qn=2.382e-05
Step1093  Qn=1.382e-05
Step1094  Qn=4.038e-05
Step1095  Qn=1.664e-05
Step1096  Qn=1.193e-05
Step1097  Qn=2.365e-05
Step1098  Qn=1.076e-05
Step1099  Qn=1.421e-05
Step1100  Qn=1.679e-05
Step1101  Qn=1.731e-05
Step1102  Qn=4.066e-05
Step1103  Qn=1.137e-05
Step1104  Qn=9.950e-06
Step1105  Qn=2.226e-05
Step1106  Qn=4.508e-05
Step1107  Qn=2.809e-05
Step1108  Qn=3.221e-05
Step1109  Qn=1.341e-05
Step1110  Qn=1.273e-05
Step1111  Qn=1.282e-05
Step1112  Qn=1.140e-05
Step1113  Qn=1.650e-05
Step1114  Qn=1.563e-05
Step1115  Qn=1.240e-05
Step1116  Qn=1.563e-05
Step1117  Qn=1.670e-05
Step1118  Qn=3.770e-05
Step1119  Qn=1.935e-05
Step1120  Qn=2.276e-05
Step1121  Qn=3.454e-05
Step1122  Qn=1.539e-05
Step1123  Qn=2.117e-05
Step1124  Qn=1.884e-05
Step1125  Qn=2.965e-05
Step1126  Qn=1.522e-05
Step1127  Qn=7.934e-05
Step1128  Qn=1.202e-05
Step1129  Qn=2.399e-05
Step1130  Qn=1.110e-05
Step1131  Qn=2.010e-05
Step1132  Qn=1.806e-05
Step1133  Qn=1.476e-05
Step1134  Qn=3.290e-05
Step1135  Qn=2.111e-05
Step1136  Qn=2.214e-05
Step1137  Qn=1.327e-05
Step1138  Qn=1.376e-05
Step1139  Qn=1.716e-05
Step1140  Qn=1.589e-05
Step1141  Qn=1.131e-05
Step1142  Qn=1.747e-05
Step1143  Qn=1.048e-05
Step1144  Qn=1.789e-05
Step1145  Qn=5.417e-05
Step1146  Qn=3.225e-05
Step1147  Qn=1.547e-05
Step1148  Qn=1.817e-05
Step1149  Qn=1.487e-05
Step1150  Qn=9.354e-06
Step1151  Qn=1.156e-05
Step1152  Qn=1.047e-05
Step1153  Qn=9.384e-06
Step1154  Qn=1.466e-05
Step1155  Qn=1.787e-05
Step1156  Qn=1.646e-05
Step1157  Qn=1.742e-05
Step1158  Qn=2.450e-05
Step1159  Qn=1.495e-05
Step1160  Qn=1.718e-05
Step1161  Qn=1.556e-05
Step1162  Qn=1.243e-05
Step1163  Qn=1.368e-05
Step1164  Qn=9.704e-06
Step1165  Qn=1.858e-05
Step1166  Qn=1.057e-05
Step1167  Qn=2.259e-05
Step1168  Qn=1.173e-05
Step1169  Qn=1.080e-05
Step1170  Qn=3.071e-05
Step1171  Qn=2.177e-05
Step1172  Qn=1.006e-05
Step1173  Qn=1.650e-05
Step1174  Qn=1.736e-05
Step1175  Qn=1.365e-05
Step1176  Qn=1.207e-05
Step1177  Qn=9.483e-06
Step1178  Qn=2.174e-05
Step1179  Qn=4.857e-05
Step1180  Qn=1.181e-05
Step1181  Qn=1.648e-05
Step1182  Qn=1.552e-05
Step1183  Qn=1.972e-05
Step1184  Qn=3.022e-05
Step1185  Qn=3.016e-05
Step1186  Qn=1.364e-05
Step1187  Qn=1.728e-05
Step1188  Qn=1.868e-05
Step1189  Qn=2.678e-05
Step1190  Qn=1.014e-05
Step1191  Qn=1.021e-05
Step1192  Qn=3.435e-05
Step1193  Qn=1.913e-05
Step1194  Qn=1.661e-05
Step1195  Qn=1.910e-05
Step1196  Qn=2.379e-05
Step1197  Qn=1.388e-05
Step1198  Qn=2.614e-05
Step1199  Qn=1.415e-05
Step1200  Qn=2.120e-05
Step1201  Qn=3.473e-05
Step1202  Qn=1.350e-05
Step1203  Qn=4.031e-05
Step1204  Qn=3.799e-05
Step1205  Qn=3.361e-05
Step1206  Qn=1.090e-05
Step1207  Qn=1.866e-05
Step1208  Qn=1.077e-05
Step1209  Qn=1.423e-05
Step1210  Qn=2.168e-05
Step1211  Qn=1.650e-05
Step1212  Qn=1.291e-05
Step1213  Qn=1.053e-05
Step1214  Qn=1.563e-05
Step1215  Qn=1.064e-05
Step1216  Qn=1.794e-05
Step1217  Qn=1.408e-05
Step1218  Qn=2.338e-05
Step1219  Qn=4.485e-05
Step1220  Qn=4.262e-05
Step1221  Qn=2.848e-05
Step1222  Qn=1.515e-05
Step1223  Qn=1.540e-05
Step1224  Qn=2.558e-05
Step1225  Qn=1.600e-05
Step1226  Qn=2.019e-05
Step1227  Qn=2.962e-05
Step1228  Qn=1.396e-05
Step1229  Qn=1.611e-05
Step1230  Qn=2.024e-05
Step1231  Qn=9.583e-06
Step1232  Qn=1.725e-05
Step1233  Qn=1.595e-05
Step1234  Qn=1.761e-05
Step1235  Qn=1.996e-05
Step1236  Qn=9.502e-06
Step1237  Qn=1.007e-05
Step1238  Qn=1.347e-05
Step1239  Qn=4.994e-05
Step1240  Qn=1.245e-05
Step1241  Qn=1.532e-05
Step1242  Qn=1.992e-05
Step1243  Qn=1.873e-05
Step1244  Qn=4.832e-05
Step1245  Qn=1.053e-05
Step1246  Qn=1.408e-05
Step1247  Qn=4.027e-05
Step1248  Qn=2.205e-05
Step1249  Qn=1.666e-05
Step1250  Qn=1.112e-05
Step1251  Qn=3.367e-05
Step1252  Qn=1.800e-05
Step1253  Qn=4.713e-05
Step1254  Qn=1.466e-05
Step1255  Qn=1.221e-05
Step1256  Qn=3.765e-05
Step1257  Qn=1.605e-05
Step1258  Qn=4.052e-05
Step1259  Qn=1.347e-05
Step1260  Qn=1.736e-05
Step1261  Qn=1.479e-05
Step1262  Qn=2.545e-05
Step1263  Qn=2.348e-05
Step1264  Qn=2.913e-05
Step1265  Qn=2.492e-05
Step1266  Qn=2.508e-05
Step1267  Qn=1.053e-05
Step1268  Qn=9.803e-06
Step1269  Qn=1.094e-05
Step1270  Qn=2.137e-05
Step1271  Qn=3.081e-05
Step1272  Qn=2.235e-05
Step1273  Qn=2.297e-05
Step1274  Qn=1.288e-05
Step1275  Qn=2.545e-05
Step1276  Qn=2.189e-05
Step1277  Qn=1.071e-05
Step1278  Qn=1.795e-05
Step1279  Qn=2.234e-05
Step1280  Qn=2.446e-05
Step1281  Qn=2.269e-05
Step1282  Qn=1.043e-05
Step1283  Qn=9.617e-06
Step1284  Qn=2.417e-05
Step1285  Qn=5.308e-05
Step1286  Qn=1.645e-05
Step1287  Qn=2.071e-05
Step1288  Qn=3.130e-05
Step1289  Qn=1.882e-05
Step1290  Qn=2.108e-05
Step1291  Qn=1.506e-05
Step1292  Qn=1.166e-05
Step1293  Qn=1.730e-05
Step1294  Qn=1.026e-05
Step1295  Qn=2.872e-05
Step1296  Qn=2.095e-05
Step1297  Qn=2.406e-05
Step1298  Qn=9.832e-06
Step1299  Qn=1.416e-05
Step1300  Qn=3.639e-05
Step1301  Qn=1.426e-05
Step1302  Qn=9.178e-06
Step1303  Qn=1.123e-05
Step1304  Qn=1.480e-05
Step1305  Qn=1.153e-05
Step1306  Qn=1.880e-05
Step1307  Qn=4.524e-05
Step1308  Qn=1.345e-05
Step1309  Qn=2.625e-05
Step1310  Qn=2.565e-05
Step1311  Qn=1.338e-05
Step1312  Qn=3.048e-05
Step1313  Qn=1.472e-05
Step1314  Qn=1.082e-05
Step1315  Qn=3.219e-05
Step1316  Qn=1.500e-05
Step1317  Qn=4.531e-05
Step1318  Qn=2.091e-05
Step1319  Qn=1.320e-05
Step1320  Qn=2.040e-05
Step1321  Qn=1.744e-05
Step1322  Qn=1.696e-05
Step1323  Qn=1.470e-05
Step1324  Qn=1.201e-05
Step1325  Qn=2.243e-05
Step1326  Qn=1.539e-05
Step1327  Qn=1.594e-05
Step1328  Qn=2.328e-05
Step1329  Qn=1.621e-05
Step1330  Qn=1.856e-05
Step1331  Qn=2.010e-05
Step1332  Qn=1.331e-05
Step1333  Qn=1.531e-05
Step1334  Qn=3.231e-05
Step1335  Qn=3.576e-05
Step1336  Qn=2.154e-05
Step1337  Qn=1.586e-05
Step1338  Qn=1.063e-05
Step1339  Qn=2.151e-05
Step1340  Qn=2.254e-05
Step1341  Qn=1.492e-05
Step1342  Qn=3.153e-05
Step1343  Qn=1.501e-05
Step1344  Qn=1.773e-05
Step1345  Qn=1.767e-05
Step1346  Qn=1.942e-05
Step1347  Qn=1.301e-05
Step1348  Qn=1.505e-05
Step1349  Qn=1.524e-05
Step1350  Qn=1.473e-05
Step1351  Qn=3.465e-05
Step1352  Qn=1.973e-05
Step1353  Qn=3.296e-05
Step1354  Qn=1.584e-05
Step1355  Qn=1.986e-05
Step1356  Qn=1.683e-05
Step1357  Qn=1.040e-05
Step1358  Qn=1.300e-05
Step1359  Qn=3.061e-05
Step1360  Qn=2.391e-05
Step1361  Qn=1.816e-05
Step1362  Qn=2.971e-05
Step1363  Qn=2.872e-05
Step1364  Qn=1.426e-05
Step1365  Qn=2.810e-05
Step1366  Qn=1.243e-05
Step1367  Qn=1.101e-05
Step1368  Qn=1.509e-05
Step1369  Qn=4.157e-05
Step1370  Qn=3.019e-05
Step1371  Qn=3.074e-05
Step1372  Qn=3.561e-05
Step1373  Qn=1.405e-05
Step1374  Qn=1.884e-05
Step1375  Qn=2.181e-05
Step1376  Qn=1.355e-05
Step1377  Qn=2.173e-05
Step1378  Qn=2.697e-05
Step1379  Qn=3.245e-05
Step1380  Qn=1.837e-05
Step1381  Qn=1.905e-05
Step1382  Qn=2.336e-05
Step1383  Qn=1.100e-05
Step1384  Qn=1.983e-05
Step1385  Qn=2.390e-05
Step1386  Qn=1.241e-05
Step1387  Qn=4.594e-05
Step1388  Qn=9.884e-06
Step1389  Qn=1.489e-05
Step1390  Qn=2.391e-05
Step1391  Qn=1.393e-05
Step1392  Qn=1.440e-05
Step1393  Qn=2.323e-05
Step1394  Qn=1.180e-05
Step1395  Qn=1.842e-05
Step1396  Qn=1.716e-05
Step1397  Qn=4.308e-05
Step1398  Qn=1.868e-05
Step1399  Qn=9.504e-06
Step1400  Qn=1.350e-05
Step1401  Qn=1.407e-05
Step1402  Qn=1.305e-05
Step1403  Qn=3.194e-05
Step1404  Qn=9.793e-06
Step1405  Qn=2.881e-05
Step1406  Qn=1.946e-05
Step1407  Qn=4.578e-05
Step1408  Qn=1.076e-05
Step1409  Qn=1.155e-05
Step1410  Qn=2.988e-05
Step1411  Qn=1.229e-05
Step1412  Qn=2.259e-05
Step1413  Qn=1.203e-05
Step1414  Qn=1.431e-05
Step1415  Qn=2.372e-05
Step1416  Qn=1.627e-05
Step1417  Qn=5.597e-05
Step1418  Qn=2.772e-05
Step1419  Qn=1.058e-05
Step1420  Qn=3.301e-05
Step1421  Qn=1.368e-05
Step1422  Qn=1.724e-05
Step1423  Qn=1.617e-05
Step1424  Qn=1.699e-05
Step1425  Qn=2.210e-05
Step1426  Qn=1.013e-05
Step1427  Qn=9.997e-06
Step1428  Qn=3.456e-05
Step1429  Qn=1.372e-05
Step1430  Qn=3.403e-05
Step1431  Qn=1.086e-05
Step1432  Qn=1.700e-05
Step1433  Qn=2.289e-05
Step1434  Qn=9.395e-06
Step1435  Qn=1.629e-05
Step1436  Qn=1.067e-05
Step1437  Qn=2.880e-05
Step1438  Qn=1.555e-05
Step1439  Qn=1.612e-05
Step1440  Qn=1.020e-05
Step1441  Qn=1.041e-05
Step1442  Qn=1.467e-05
Step1443  Qn=1.629e-05
Step1444  Qn=1.938e-05
Step1445  Qn=1.465e-05
Step1446  Qn=7.169e-05
Step1447  Qn=1.287e-05
Step1448  Qn=2.156e-05
Step1449  Qn=2.987e-05
Step1450  Qn=1.088e-05
Step1451  Qn=2.003e-05
Step1452  Qn=2.898e-05
Step1453  Qn=2.164e-05
Step1454  Qn=1.898e-05
Step1455  Qn=1.042e-05
Step1456  Qn=1.885e-05
Step1457  Qn=2.944e-05
Step1458  Qn=1.772e-05
Step1459  Qn=1.013e-05
Step1460  Qn=1.191e-05
Step1461  Qn=1.941e-05
Step1462  Qn=1.158e-05
Step1463  Qn=2.539e-05
Step1464  Qn=1.621e-05
Step1465  Qn=1.586e-05
Step1466  Qn=1.036e-05
Step1467  Qn=4.122e-05
Step1468  Qn=2.295e-05
Step1469  Qn=1.100e-05
Step1470  Qn=1.628e-05
Step1471  Qn=1.323e-05
Step1472  Qn=4.007e-05
Step1473  Qn=2.267e-05
Step1474  Qn=4.978e-05
Step1475  Qn=1.080e-05
Step1476  Qn=4.300e-05
Step1477  Qn=2.306e-05
Step1478  Qn=1.718e-05
Step1479  Qn=2.673e-05
Step1480  Qn=1.337e-05
Step1481  Qn=2.193e-05
Step1482  Qn=1.896e-05
Step1483  Qn=1.203e-05
Step1484  Qn=2.898e-05
Step1485  Qn=1.672e-05
Step1486  Qn=2.546e-05
Step1487  Qn=2.160e-05
Step1488  Qn=5.413e-05
Step1489  Qn=1.905e-05
Step1490  Qn=1.349e-05
Step1491  Qn=3.317e-05
Step1492  Qn=1.424e-05
Step1493  Qn=1.111e-05
Step1494  Qn=1.390e-05
Step1495  Qn=1.937e-05
Step1496  Qn=4.036e-05
Step1497  Qn=1.743e-05
Step1498  Qn=1.376e-05
Step1499  Qn=2.807e-05
Step1500  Qn=1.366e-05
Step1501  Qn=1.340e-05
Step1502  Qn=1.742e-05
Step1503  Qn=3.335e-05
Step1504  Qn=2.269e-05
Step1505  Qn=1.432e-05
Step1506  Qn=1.291e-05
Step1507  Qn=3.596e-05
Step1508  Qn=1.573e-05
Step1509  Qn=1.152e-05
Step1510  Qn=1.274e-05
Step1511  Qn=1.009e-05
Step1512  Qn=2.320e-05
Step1513  Qn=2.898e-05
Step1514  Qn=2.887e-05
Step1515  Qn=1.950e-05
Step1516  Qn=9.534e-06
Step1517  Qn=1.331e-05
Step1518  Qn=2.244e-05
Step1519  Qn=1.021e-05
Step1520  Qn=1.328e-05
Step1521  Qn=4.900e-05
Step1522  Qn=4.168e-05
Step1523  Qn=1.003e-05
Step1524  Qn=4.055e-05
Step1525  Qn=2.175e-05
Step1526  Qn=1.462e-05
Step1527  Qn=1.001e-05
Step1528  Qn=9.397e-06
Step1529  Qn=1.113e-05
Step1530  Qn=2.412e-05
Step1531  Qn=1.243e-05
Step1532  Qn=2.486e-05
Step1533  Qn=1.288e-05
Step1534  Qn=2.525e-05
Step1535  Qn=1.634e-05
Step1536  Qn=1.482e-05
Step1537  Qn=2.544e-05
Step1538  Qn=1.430e-05
Step1539  Qn=9.585e-06
Step1540  Qn=1.062e-05
Step1541  Qn=1.608e-05
Step1542  Qn=1.113e-05
Step1543  Qn=1.054e-05
Step1544  Qn=2.182e-05
Step1545  Qn=1.411e-05
Step1546  Qn=1.775e-05
Step1547  Qn=3.871e-05
Step1548  Qn=1.216e-05
Step1549  Qn=1.954e-05
Step1550  Qn=2.423e-05
Step1551  Qn=1.673e-05
Step1552  Qn=2.004e-05
Step1553  Qn=3.159e-05
Step1554  Qn=2.839e-05
Step1555  Qn=3.719e-05
Step1556  Qn=1.248e-05
Step1557  Qn=1.477e-05
Step1558  Qn=2.216e-05
Step1559  Qn=1.664e-05
Step1560  Qn=9.739e-06
Step1561  Qn=1.266e-05
Step1562  Qn=2.264e-05
Step1563  Qn=1.278e-05
Step1564  Qn=1.253e-05
Step1565  Qn=2.027e-05
Step1566  Qn=9.911e-06
Step1567  Qn=9.778e-06
Step1568  Qn=2.506e-05
Step1569  Qn=1.462e-05
Step1570  Qn=1.811e-05
Step1571  Qn=1.855e-05
Step1572  Qn=1.043e-05
Step1573  Qn=3.758e-05
Step1574  Qn=1.063e-05
Step1575  Qn=2.012e-05
Step1576  Qn=1.960e-05
Step1577  Qn=2.234e-05
Step1578  Qn=3.368e-05
Step1579  Qn=2.321e-05
Step1580  Qn=3.477e-05
Step1581  Qn=2.085e-05
Step1582  Qn=3.135e-05
Step1583  Qn=2.516e-05
Step1584  Qn=9.219e-06
Step1585  Qn=3.372e-05
Step1586  Qn=9.453e-06
Step1587  Qn=2.771e-05
Step1588  Qn=2.270e-05
Step1589  Qn=1.011e-05
Step1590  Qn=1.847e-05
Step1591  Qn=2.389e-05
Step1592  Qn=1.434e-05
Step1593  Qn=1.451e-05
Step1594  Qn=1.304e-05
Step1595  Qn=5.953e-05
Step1596  Qn=1.466e-05
Step1597  Qn=2.789e-05
Step1598  Qn=2.445e-05
Step1599  Qn=1.005e-05
Step1600  Qn=2.355e-05
Step1601  Qn=3.897e-05
Step1602  Qn=1.387e-05
Step1603  Qn=1.326e-05
Step1604  Qn=2.999e-05
Step1605  Qn=1.590e-05
Step1606  Qn=3.497e-05
Step1607  Qn=9.536e-06
Step1608  Qn=3.462e-05
Step1609  Qn=2.092e-05
Step1610  Qn=3.600e-05
Step1611  Qn=2.917e-05
Step1612  Qn=2.559e-05
Step1613  Qn=1.060e-05
Step1614  Qn=1.765e-05
Step1615  Qn=1.434e-05
Step1616  Qn=2.895e-05
Step1617  Qn=2.459e-05
Step1618  Qn=2.458e-05
Step1619  Qn=9.804e-06
Step1620  Qn=1.572e-05
Step1621  Qn=1.466e-05
Step1622  Qn=2.611e-05
Step1623  Qn=1.586e-05
Step1624  Qn=3.455e-05
Step1625  Qn=1.017e-05
