; v1; ; ; ; v2; ; ; ; v3; ; ; ; v4; ; ; ; v5; ; ; ;
t; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum;
0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0;  0.0; 
30;  10032.3;  7836.1;  706.1;  18574.5;  9523.6;  4336.6;  0.0;  13860.2;  10610.3;  6263.4;  442.1;  17315.8;  7969.2;  4587.0;  0.0;  12556.2;  6817.0;  3035.6;  0.0;  9852.6; 
60;  21919.1;  12706.8;  2353.2;  36979.1;  18245.8;  7544.4;  0.0;  25790.2;  17760.6;  6882.4;  0.0;  24643.0;  11053.7;  3647.4;  0.0;  14701.1;  15570.7;  5633.4;  0.0;  21204.1; 
90;  210117.9;  56034.8;  7740.5;  273893.2;  136105.9;  23814.8;  0.0;  159920.7;  121939.2;  23408.7;  0.0;  145347.9;  125572.4;  25335.5;  0.0;  150908.0;  133019.4;  23546.2;  291.8;  156857.4; 
120;  42844.9;  13447.4;  0.0;  56292.3;  37222.8;  11830.9;  0.0;  49053.7;  36440.4;  11765.2;  0.0;  48205.6;  29052.5;  8748.3;  0.0;  37800.8;  27347.3;  10652.1;  0.0;  37999.3; 
150;  41584.9;  10510.8;  0.0;  52095.7;  41413.0;  12039.9;  0.0;  53453.0;  38411.2;  10574.3;  0.0;  48985.5;  37535.2;  11694.8;  0.0;  49230.0;  38079.9;  11713.7;  0.0;  49793.6; 
180;  46587.0;  10469.9;  0.0;  57056.9;  43379.5;  11535.5;  0.0;  54915.0;  42612.3;  11859.3;  0.0;  54471.5;  40581.3;  13370.6;  0.0;  53951.9;  41153.6;  11225.1;  0.0;  52378.8; 
240;  59265.1;  10811.0;  0.0;  70076.2;  61881.5;  15045.0;  225.2;  77151.7;  58879.2;  13881.3;  0.0;  72760.5;  53856.7;  14365.8;  0.0;  68222.5;  60028.9;  13254.0;  0.0;  73283.0; 
300;  62571.4;  12315.4;  0.0;  74886.7;  67117.5;  14750.2;  0.0;  81867.7;  62553.5;  14010.5;  0.0;  76563.9;  60067.4;  14230.0;  0.0;  74297.4;  60556.4;  13054.5;  0.0;  73610.9; 
360;  83091.4;  12510.5;  0.0;  95601.9;  78985.4;  13336.9;  0.0;  92322.3;  82798.1;  13571.4;  0.0;  96369.4;  76445.4;  12705.2;  0.0;  89150.7;  72524.0;  13664.8;  0.0;  86188.8; 
450;  85770.8;  15380.3;  0.0;  101151.2;  92353.7;  18447.2;  0.0;  110800.8;  91144.8;  15870.3;  0.0;  107015.1;  94385.8;  15178.7;  0.0;  109564.5;  91942.5;  18239.9;  0.0;  110182.4; 
540;  98178.1;  15574.1;  0.0;  113752.2;  97994.1;  18483.3;  0.0;  116477.4;  101761.7;  21816.0;  0.0;  123577.7;  97512.3;  19302.2;  0.0;  116814.4;  81696.0;  16273.3;  0.0;  97969.3; 
600;  108229.4;  16276.5;  0.0;  124505.9;  107982.6;  18371.6;  0.0;  126354.2;  114864.9;  21843.0;  0.0;  136707.9;  104871.7;  18543.3;  0.0;  123415.0;  100721.7;  18329.6;  0.0;  119051.3; 
750;  133093.7;  25584.6;  0.0;  158678.3;  117636.6;  20129.4;  0.0;  137766.0;  123549.5;  25846.5;  0.0;  149396.0;  109498.5;  17769.7;  0.0;  127268.2;  99235.8;  16445.0;  0.0;  115680.8; 
1050;  144342.3;  25709.8;  0.0;  170052.2;  155071.3;  28064.2;  0.0;  183135.5;  146512.4;  28343.1;  0.0;  174855.5;  148409.3;  27582.0;  0.0;  175991.3;  121832.1;  22956.7;  0.0;  144788.8; 
