Time, s; Heat flow, Watt
1769.66082399732; 1.70389304095921e-05
1990.67831044334; 1.70628776799756e-05
2211.69579688936; 1.70605384730385e-05
2432.71328333538; 1.77043075407253e-05
2653.73076978140; 1.83231610896946e-05
2874.74825622742; 1.86129073560544e-05
3095.76574267343; 1.89608404715424e-05
3316.78322911945; 1.85315755251200e-05
3537.80071556547; 1.85915638017100e-05
3758.81820201149; 1.88069105057721e-05
3979.83568845751; 1.90094109828093e-05
4200.85317490353; 1.90589918600382e-05
4421.87066134955; 1.93564939929790e-05
4642.88814779557; 1.94091522723280e-05
4863.90563424159; 1.95574894729738e-05
5084.92312068761; 1.97244213317922e-05
5305.94060713363; 1.98896502729755e-05
5526.95809357964; 1.99266550778913e-05
5747.97558002566; 2.00962968950905e-05
5968.99306647168; 2.01433160176382e-05
6190.01055291770; 2.03440995572622e-05
6411.02803936372; 2.02851383365960e-05
6632.04552580974; 2.05625844556614e-05
6853.06301225576; 2.06140036294697e-05
7074.08049870178; 2.06324696199248e-05
7295.09798514780; 2.07469380311042e-05
7516.11547159382; 2.08423397676029e-05
7737.13295803984; 2.07880645506202e-05
7958.15044448585; 2.10233633369415e-05
8179.16793093187; 2.09774009685609e-05
8400.18541737789; 2.10153686221359e-05
8621.20290382391; 2.11192799718716e-05
8842.22039026993; 2.11915549989706e-05
9063.23787671595; 2.11634299530365e-05
9284.25536316197; 2.12556461806414e-05
9505.27284960799; 2.12087308298514e-05
9726.29033605401; 2.13146316574368e-05
9947.30782250003; 2.13037131463846e-05
10168.32530894605; 2.14115023924718e-05
10389.34279539207; 2.13317073543841e-05
10610.36028183809; 2.14325566279482e-05
10831.37776828410; 2.14209875237791e-05
11052.39525473012; 2.14075674870034e-05
11273.41274117614; 2.14299896041579e-05
11494.43022762216; 2.15489340903385e-05
11715.44771406818; 2.13724209321330e-05
11936.46520051420; 2.15058636051340e-05
12157.48268696022; 2.14957553092111e-05
12378.50017340624; 2.14263456167570e-05
12599.51765985226; 2.14771329263420e-05
12820.53514629828; 2.14887396284412e-05
13041.55263274430; 2.13719997357058e-05
13262.57011919031; 2.14471201965927e-05
13483.58760563633; 2.14452897984400e-05
13704.60509208235; 2.12867412982436e-05
13925.62257852837; 2.14376393323548e-05
14146.64006497439; 2.12762840178135e-05
14367.65755142041; 2.12645283546218e-05
14588.67503786643; 2.11907126571905e-05
14809.69252431245; 2.12018102851819e-05
15030.71001075847; 2.10635042334267e-05
15251.72749720449; 2.10763550508897e-05
15472.74498365051; 2.09339936057138e-05
15693.76247009652; 2.08946708939802e-05
15914.77995654254; 2.07933924129307e-05
16135.79744298856; 2.08166604796102e-05
16356.81492943458; 2.05625352691585e-05
16577.83241588060; 2.05884590790135e-05
16798.84990232662; 2.04905076156343e-05
17019.86738877264; 2.03743233462035e-05
17240.88487521866; 2.03321846109375e-05
17461.90236166468; 2.02693894035070e-05
17682.91984811070; 2.00502331026349e-05
17903.93733455671; 2.01101054983522e-05
18124.95482100274; 1.99429192908274e-05
18345.97230744876; 1.98236637915889e-05
18566.98979389478; 1.97483599982193e-05
18788.00728034079; 1.96817755025871e-05
19009.02476678681; 1.95451356711108e-05
19230.04225323283; 1.93878542896866e-05
19451.05973967885; 1.92968244907550e-05
19672.07722612487; 1.92550534414951e-05
19893.09471257089; 1.90401839241664e-05
20114.11219901691; 1.90160838399161e-05
20335.12968546293; 1.88603620473206e-05
20556.14717190895; 1.87167261894400e-05
20777.16465835497; 1.86214559774330e-05
20998.18214480098; 1.85390503166165e-05
21219.19963124700; 1.83209188669270e-05
21440.21711769302; 1.82784770989896e-05
21661.23460413904; 1.81320185862196e-05
21882.25209058506; 1.79991376281585e-05
22103.26957703108; 1.78819417409419e-05
22324.28706347710; 1.77904923015276e-05
22545.30454992312; 1.75647218439198e-05
22766.32203636914; 1.75111693832420e-05
22987.33952281516; 1.73500284107375e-05
23208.35700926118; 1.71698697846465e-05
23429.37449570719; 1.70586932178970e-05
23650.39198215321; 1.69342162573743e-05
23871.40946859923; 1.67058119863596e-05
24092.42695504525; 1.66319822565368e-05
24313.44444149127; 1.64380172015309e-05
24534.46192793729; 1.62757594384194e-05
24755.47941438331; 1.61434737328925e-05
24976.49690082933; 1.59515480198882e-05
25197.51438727535; 1.57870594642471e-05
25418.53187372137; 1.56435943628101e-05
25639.54936016739; 1.54441898341510e-05
25860.56684661340; 1.52647752019484e-05
26081.58433305943; 1.50803996450694e-05
26302.60181950544; 1.49294981574865e-05
26523.61930595146; 1.46735075694563e-05
26744.63679239748; 1.44847087032935e-05
26965.65427884350; 1.43300507363937e-05
27186.67176528952; 1.41081977051329e-05
27407.68925173554; 1.38677020510708e-05
27628.70673818156; 1.37189815513072e-05
27849.72422462758; 1.34008121337295e-05
28070.74171107360; 1.32961421900824e-05
28291.75919751962; 1.30746420428224e-05
28512.77668396564; 1.28132576110001e-05
28733.79417041165; 1.26635921586026e-05
28954.81165685767; 1.24562871774298e-05
29175.82914330369; 1.21406737284246e-05
29396.84662974971; 1.20679554894259e-05
29617.86411619573; 1.17638337514822e-05
29838.88160264175; 1.16439684809667e-05
30059.89908908777; 1.14211410754516e-05
30280.91657553379; 1.11875715384948e-05
30501.93406197981; 1.10130768839149e-05
30722.95154842583; 1.08417790614272e-05
30943.96903487184; 1.05470890204884e-05
31164.98652131786; 1.04585281697699e-05
31386.00400776388; 1.01676209574050e-05
31607.02149420990; 1.01226336422026e-05
31828.03898065592; 9.90807103366985e-06
32049.05646710194; 9.65268873891051e-06
32270.07395354796; 9.54798782456020e-06
32491.09143999398; 9.43131683816491e-06
32712.10892644000; 9.09504968738835e-06
32933.12641288601; 9.08669431592254e-06
33154.14389933203; 8.75406803402579e-06
33375.16138577805; 8.73768847608824e-06
33596.17887222407; 8.57199139892787e-06
33817.19635867009; 8.37398917041091e-06
34038.21384511611; 8.25985383271053e-06
34259.23133156213; 8.09237397456683e-06
34480.24881800814; 8.01111888678353e-06
34701.26630445416; 7.88730398591247e-06
34922.28379090018; 7.64760459757179e-06
35143.30127734620; 7.69431323171895e-06
35364.31876379222; 7.50367939470265e-06
35585.33625023824; 7.35294787678585e-06
35806.35373668426; 7.33636452666178e-06
36027.37122313028; 7.12762876631597e-06
36248.38870957630; 7.21293643527003e-06
36469.40619602232; 7.07636116304423e-06
36690.42368246833; 6.86277706503906e-06
36911.44116891435; 6.92899504307358e-06
37132.45865536037; 6.92356773491274e-06
37353.47614180639; 6.60658061494218e-06
37574.49362825241; 6.78944252756547e-06
37795.51111469843; 6.51394396739574e-06
38016.52860114445; 6.60742825349959e-06
38237.54608759047; 6.53727363882731e-06
38458.56357403649; 6.37795090384160e-06
38679.58106048251; 6.35685266964401e-06
38900.59854692852; 6.40298717371167e-06
39121.61603337454; 6.10944104663174e-06
39342.63351982056; 6.18071613851347e-06
39563.65100626658; 5.94369889833171e-06
39784.66849271260; 6.08717639373747e-06
40005.68597915862; 5.87227926756173e-06
40226.70346560464; 5.76395077301287e-06
40447.72095205066; 5.78750344695337e-06
40668.73843849668; 5.70333266410411e-06
40889.75592494270; 5.47132653997184e-06
41110.77341138872; 5.60618673792615e-06
41331.79089783473; 5.25401438937524e-06
41552.80838428075; 5.45119523815917e-06
41773.82587072677; 5.31265041896749e-06
41994.84335717279; 5.06462195892985e-06
42215.86084361882; 5.15445093428213e-06
42436.87833006484; 5.13221018471835e-06
42657.89581651085; 4.78521761335862e-06
42878.91330295687; 4.97423405948212e-06
43099.93078940289; 4.69289765124798e-06
43320.94827584891; 4.74312097953175e-06
43541.96576229493; 4.67796414423719e-06
43762.98324874094; 4.51400649966636e-06
43984.00073518696; 4.47400505173660e-06
44205.01822163298; 4.50710548914106e-06
44426.03570807901; 4.23679019892172e-06
44647.05319452503; 4.35627403932765e-06
44868.07068097104; 4.05077590652032e-06
45089.08816741706; 4.22090269880751e-06
45310.10565386308; 4.09615300290482e-06
45531.12314030910; 3.88974076272669e-06
45752.14062675512; 3.96557450200410e-06
45973.15811320113; 3.95859982514196e-06
46194.17559964715; 3.66758305162734e-06
46415.19308609318; 3.81542857891218e-06
46636.21057253920; 3.58437181230325e-06
46857.22805898522; 3.63208398243865e-06
