Summary
Name,"DCM-T15-10-5-20.rslt"
Start time,2020 окт 05 - 12:24
End time,2020 окт 05 - 16:53
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\DCM-T15-10-5-20.rslt"
General Experiment Info
Bath temperature,15°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"DCM-T15","DCM-T15","DCM-T15"
,Component - DCM,Component - DCM,Component - DCM
Mass,800mg,800mg,800mg
Name,"DCM","DCM","DCM"
Physical shape,"Liquid","Liquid","Liquid"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Room Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers","Comments"
1.34656620025635,NaN,NaN,NaN,NaN,NaN,NaN,15.0000193924409,15.0000705966224,"",""
1.34765720367432,15.0000005728711,NaN,NaN,NaN,NaN,NaN,15.0000193924148,15.0000705965903,"",""
1.63435411453247,15.0000004822445,-5.23367459383991E-09,NaN,-6.54209324229989E-09,NaN,NaN,15.000019385555,15.0000705881582,"",""
2.50539112091064,15.0000002069046,-5.06676893351811E-09,NaN,-6.33346116689764E-09,NaN,26.5246547811695,15.0000193647136,15.0000705625398,"",""
4.03969860076904,14.999999721901,-4.77276925131488E-09,NaN,-5.96596156414359E-09,NaN,26.5163538764529,15.0000193280021,15.0000705174139,"",""
5.38626456260681,14.999999884887,-4.39067865884303E-09,NaN,-5.48834832355379E-09,NaN,26.5090686902105,15.000019305853,15.0000704989974,"",""
6.73283076286316,15.0000000493072,-3.97436627253553E-09,NaN,-4.96795784066941E-09,NaN,26.5017835026782,15.0000192837039,15.0000704805809,"",""
8.07939696311951,15.0000001259528,-3.75611126008589E-09,NaN,-4.69513907510736E-09,NaN,26.4944994941088,15.00001927785,15.0000704760071,"",""
9.42596316337585,15.0000002022413,-3.59328985681459E-09,NaN,-4.49161232101824E-09,NaN,26.4872228568541,15.0000192719962,15.0000704714334,"",""
10.7725293636322,15.0000001827241,-3.4495008384019E-09,NaN,-4.31187604800238E-09,NaN,26.4800718204398,15.0000192065248,15.0000704075414,"",""
12.1190955638885,15.0000001626603,-3.31111630753519E-09,NaN,-4.13889538441899E-09,NaN,26.473711189677,15.0000191410534,15.0000703436494,"",""
13.4656617641449,15.0000005198958,-3.20352148486432E-09,NaN,-4.0044018560804E-09,NaN,26.4675296607436,15.0000190515306,15.0000702530548,"",""
14.8122279644012,15.0000008799026,-3.10479610361378E-09,NaN,-3.88099512951722E-09,NaN,26.4624825768926,15.0000189620077,15.0000701624602,"",""
16.1587941646576,15.0000014147311,-3.16237463106232E-09,NaN,-3.95296828882791E-09,NaN,26.4574415669558,15.0000187921673,15.0000699920888,"",""
17.5053603649139,15.0000019511317,-3.26562415466833E-09,NaN,-4.08203019333541E-09,NaN,26.4524392820258,15.0000186223269,15.0000698217173,"",""
18.8519265651703,15.0000009668383,-3.16655281775174E-09,NaN,-3.95819102218968E-09,NaN,26.4474369970959,15.0000183981668,15.000069597956,"",""
20.1984927654266,14.9999999663573,-3.00752398850181E-09,NaN,-3.75940498562726E-09,NaN,26.4424347121659,15.0000181740068,15.0000693741947,"",""
21.545058965683,15.0000001339662,-3.11844158310214E-09,NaN,-3.89805197887768E-09,NaN,26.437786624929,15.0000178838289,15.0000690926374,"",""
22.8916251659393,15.0000003159458,-3.31048626537015E-09,NaN,-4.13810783171269E-09,NaN,26.4354267079277,15.0000175936509,15.00006881108,"",""
24.2381913661957,15.0000002533541,-3.41950713397304E-09,NaN,-4.2743839174663E-09,NaN,26.4342296763783,15.0000172314382,15.0000684391012,"",""
25.584757566452,15.0000001873466,-3.50322739352137E-09,NaN,-4.37903424190171E-09,NaN,26.4405950546613,15.0000168692254,15.0000680671224,"",""
26.9313237667084,15.0000007625831,-3.39989376631533E-09,NaN,-4.24986720789416E-09,NaN,26.4471054849253,15.0000164497829,15.000067646389,"",""
28.2778899669647,15.0000013478452,-3.2387650394716E-09,NaN,-4.0484562993395E-09,NaN,26.4545655173362,15.0000160303404,15.0000672256557,"",""
29.6244561672211,15.0000013507782,-3.15900858633368E-09,NaN,-3.9487607329171E-09,NaN,26.4620255497471,15.0000156201029,15.0000668215563,"",""
30.9710223674774,15.0000013436317,-3.10474113948708E-09,NaN,-3.88092642435885E-09,NaN,26.469485582158,15.0000152098654,15.0000664174569,"",""
32.3175885677338,15.0000002952641,-3.03878662977575E-09,NaN,-3.79848328721969E-09,NaN,26.4771602019621,15.0000148412011,15.0000660432539,"",""
33.6641547679901,14.999999227125,-2.96912111413037E-09,NaN,-3.71140139266296E-09,NaN,26.4862586403415,15.0000144725368,15.000065669051,"",""
35.0107209682465,14.9999993741246,-2.8141845940134E-09,NaN,-3.51773074251675E-09,NaN,26.4974714230324,15.0000141552571,15.0000653545276,"",""
36.3572871685028,14.9999995462459,-2.63180352497012E-09,NaN,-3.28975440621265E-09,NaN,26.5228084162835,15.0000138379773,15.0000650400042,"",""
37.7038533687592,14.9999997210666,-2.57734724380137E-09,NaN,-3.22168405475171E-09,NaN,26.5489052988244,15.0000135919115,15.0000647962171,"",""
39.0504195690155,14.9999998959478,-2.56461995377999E-09,NaN,-3.20577494222498E-09,NaN,26.5801130131876,15.0000133458458,15.00006455243,"",""
40.3969857692719,15.00000040221,-2.55987663345978E-09,NaN,-3.19984579182473E-09,NaN,26.6113207275509,15.0000131575237,15.0000643588904,"",""
