Summary
Name,"DCM-T15-9-30-20.rslt"
Start time,2020 сен 30 - 15:40
End time,2020 окт 02 - 19:09
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\DCM-T15-9-30-20.rslt"
General Experiment Info
Bath temperature,15°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"DCM-T15","DCM-T15","DCM-T15"
,Component - DCM,Component - DCM,Component - DCM
Mass,800mg,800mg,800mg
Name,"DCM","DCM","DCM"
Physical shape,"Liquid","Liquid","Liquid"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","PCB Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
-2050.85031032562,NaN,NaN,NaN,NaN,NaN,NaN,14.9999480053973,15.0000412820792,""
-2050.84966492653,14.9999995321718,NaN,NaN,NaN,NaN,NaN,14.9999480052736,15.0000412819556,""
-2049.88655328751,14.9999995570265,-3.08703886397171E-09,NaN,-3.85879857996464E-09,NaN,NaN,14.9999478206003,15.0000410976017,""
-2041.58637356758,14.9999997712272,-3.6149853422729E-09,NaN,-4.51873167784112E-09,NaN,56.5374974447037,14.9999462290705,15.0000395088235,""
-2019.95944070816,15.000000329348,-4.99060170539553E-09,NaN,-6.23825213174442E-09,NaN,56.5374301754914,14.9999420821832,15.000035369106,""
-2004.51494073868,15.0000002149979,-4.36927822786884E-09,NaN,-5.46159778483605E-09,NaN,56.5374317779342,14.9999378010287,15.00003108823,""
-1989.0685710907,15.0000001005697,-3.64100005463964E-09,NaN,-4.55125006829954E-09,NaN,56.5375077589552,14.9999335193561,15.0000268068359,""
-1973.6240708828,15.0000000773824,-3.14705181117821E-09,NaN,-3.93381476397276E-09,NaN,56.537585179123,14.9999287500296,15.0000220392821,""
-1958.17770147324,15.0000000542113,-2.6686745065707E-09,NaN,-3.33584313321337E-09,NaN,56.5376647776301,14.9999239801259,15.0000172711512,""
-1942.73320150375,15.0000000786091,-2.01327307172841E-09,NaN,-2.51659133966052E-09,NaN,56.5377405071783,14.9999174246752,15.0000107116704,""
-1927.28683209419,15.0000001030238,-1.34596104854306E-09,NaN,-1.68245131067883E-09,NaN,56.5378104692636,14.9999108684309,15.0000041513957,""
-1911.84233212471,14.9999999965156,1.4733651028782E-09,NaN,1.84170637859775E-09,NaN,56.5378029220401,14.9999078977854,15.0000011742646,""
-1896.39596247673,14.9999998899452,4.43699828747936E-09,NaN,5.5462478593492E-09,NaN,56.5376794292742,14.9999049267803,14.9999981967731,""
-1880.95146250725,14.9999999059104,2.63588501642982E-09,NaN,3.29485627053727E-09,NaN,56.5376629591938,14.9999066089654,14.9999998816819,""
-1865.50509285927,14.9999999219339,5.15440035952018E-10,NaN,6.44300044940023E-10,NaN,56.5378064946672,14.9999082913541,15.0000015667946,""
-1850.06059288979,15.000000085668,1.97921048750828E-09,NaN,2.47401310938535E-09,NaN,56.5378908045225,14.9999081116807,15.0000013811458,""
-1834.61422324181,15.0000002495022,3.68350665474226E-09,NaN,4.60438331842783E-09,NaN,56.5378866357264,14.9999079319856,15.0000011954746,""
-1819.16972327232,15.0000001742443,4.43774493075989E-09,NaN,5.54718116344986E-09,NaN,56.5379159955841,14.9999066554518,14.9999999155359,""
-1803.72335362434,15.0000000988273,5.12829611301985E-09,NaN,6.41037014127482E-09,NaN,56.5379954427762,14.9999053787634,14.9999986354423,""
-1788.27885365486,15.0000000793055,3.57104644367265E-09,NaN,4.46380805459082E-09,NaN,56.5380740529129,14.9999006680926,14.9999939321164,""
-1772.83248400688,15.000000059821,1.86249645434745E-09,NaN,2.32812056793431E-09,NaN,56.5381514371747,14.9998959568515,14.9999892282211,""
-1757.3879840374,15.0000000128191,1.17105185334727E-09,NaN,1.46381481668408E-09,NaN,56.538218728385,14.999894451235,14.9999877164,""
-1741.94161438942,14.9999999657897,5.47973413610474E-10,NaN,6.84966767013092E-10,NaN,56.5382709800778,14.9998929454362,14.9999862043959,""
-1726.49711441994,15.0000000804684,1.83035152306561E-09,NaN,2.28793940383202E-09,NaN,56.5382622073784,14.9998960488118,14.9999893076638,""
-1711.05074501038,15.0000001953031,3.24129948028199E-09,NaN,4.05162435035249E-09,NaN,56.5381624235439,14.999899152563,14.9999924113073,""
-1695.60624504089,14.9999999887512,2.27964458373534E-09,NaN,2.84955572966917E-09,NaN,56.5381111603855,14.9999039567056,14.999997215866,""
-1680.15987539291,14.999999781865,1.15778348182914E-09,NaN,1.44722935228643E-09,NaN,56.5381322064533,14.9999087614299,15.0000020210064,""
-1664.71537542343,14.9999998963001,1.21181145766656E-09,NaN,1.51476432208319E-09,NaN,56.5381616713384,14.9999148241043,15.0000080793116,""
-1649.26900577545,15.0000000110852,1.34528294419698E-09,NaN,1.68160368024622E-09,NaN,56.538203687832,14.9999208875126,15.0000141383503,""
-1633.82450580597,14.9999999365879,2.04693425984221E-09,NaN,2.55866782480276E-09,NaN,56.5382262153972,14.999923005943,15.0000162646429,""
-1618.37813615799,14.9999998618677,2.7871067267467E-09,NaN,3.48388340843337E-09,NaN,56.5382197289021,14.9999251246298,15.000018391193,""
-1602.93363595009,14.9999999360996,2.56442596689419E-09,NaN,3.20553245861773E-09,NaN,56.5382281434858,14.9999252160337,15.0000184728733,""
-1587.48726654053,15.0000000105212,2.27651077510656E-09,NaN,2.8456384688832E-09,NaN,56.53825873854,14.9999253074487,15.0000185545635,""
