Summary
Name,"DCM-T15-9-30-20.rslt"
Start time,2020 сен 30 - 15:40
End time,2020 окт 02 - 19:09
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\DCM-T15-9-30-20.rslt"
General Experiment Info
Bath temperature,15°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"DCM-T15","DCM-T15","DCM-T15"
,Component - DCM,Component - DCM,Component - DCM
Mass,800mg,800mg,800mg
Name,"DCM","DCM","DCM"
Physical shape,"Liquid","Liquid","Liquid"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","PCB Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
-2050.85031032562,NaN,NaN,NaN,NaN,NaN,NaN,14.9999480053973,15.0000412820792,""
-2050.84966492653,14.9999995321718,NaN,NaN,NaN,NaN,NaN,14.9999480052736,15.0000412819556,""
-2049.88655328751,14.9999995570265,4.12663254807364E-08,NaN,5.15829068509205E-08,NaN,NaN,14.9999478206003,15.0000410976017,""
-2041.58637356758,14.9999997712272,4.03245850021689E-08,NaN,5.04057312527111E-08,NaN,56.5374974447037,14.9999462290705,15.0000395088235,""
-2019.95944070816,15.000000329348,3.78707877606359E-08,NaN,4.73384847007949E-08,NaN,56.5374301754914,14.9999420821832,15.000035369106,""
-2004.51494073868,15.0000002149979,3.77221470156839E-08,NaN,4.71526837696048E-08,NaN,56.5374317779342,14.9999378010287,15.00003108823,""
-1989.0685710907,15.0000001005697,3.76803677561942E-08,NaN,4.71004596952427E-08,NaN,56.5375077589552,14.9999335193561,15.0000268068359,""
-1973.6240708828,15.0000000773824,3.74043517652908E-08,NaN,4.67554397066135E-08,NaN,56.537585179123,14.9999287500296,15.0000220392821,""
-1958.17770147324,15.0000000542113,3.71126716490655E-08,NaN,4.63908395613319E-08,NaN,56.5376647776301,14.9999239801259,15.0000172711512,""
-1942.73320150375,15.0000000786091,3.6998108861429E-08,NaN,4.62476360767863E-08,NaN,56.5377405071783,14.9999174246752,15.0000107116704,""
-1927.28683209419,15.0000001030238,3.68953634637815E-08,NaN,4.61192043297269E-08,NaN,56.5378104692636,14.9999108684309,15.0000041513957,""
-1911.84233212471,14.9999999965156,3.8944725392724E-08,NaN,4.8680906740905E-08,NaN,56.5378029220401,14.9999078977854,15.0000011742646,""
-1896.39596247673,14.9999998899452,4.11383011446063E-08,NaN,5.14228764307579E-08,NaN,56.5376794292742,14.9999049267803,14.9999981967731,""
-1880.95146250725,14.9999999059104,3.8567223651078E-08,NaN,4.82090295638475E-08,NaN,56.5376629591938,14.9999066089654,14.9999998816819,""
-1865.50509285927,14.9999999219339,3.56767212378813E-08,NaN,4.45959015473517E-08,NaN,56.5378064946672,14.9999082913541,15.0000015667946,""
-1850.06059288979,15.000000085668,3.63705274669588E-08,NaN,4.54631593336985E-08,NaN,56.5378908045225,14.9999081116807,15.0000013811458,""
-1834.61422324181,15.0000002495022,3.73047662014739E-08,NaN,4.66309577518424E-08,NaN,56.5378866357264,14.9999079319856,15.0000011954746,""
-1819.16972327232,15.0000001742443,3.72890402550128E-08,NaN,4.6611300318766E-08,NaN,56.5379159955841,14.9999066554518,14.9999999155359,""
-1803.72335362434,15.0000000988273,3.72095340045539E-08,NaN,4.65119175056924E-08,NaN,56.5379954427762,14.9999053787634,14.9999986354423,""
-1788.27885365486,15.0000000793055,3.48823201127279E-08,NaN,4.36029001409099E-08,NaN,56.5380740529129,14.9999006680926,14.9999939321164,""
-1772.83248400688,15.000000059821,3.24037126906839E-08,NaN,4.05046408633548E-08,NaN,56.5381514371747,14.9998959568515,14.9999892282211,""
-1757.3879840374,15.0000000128191,3.09423038672049E-08,NaN,3.86778798340061E-08,NaN,56.538218728385,14.999894451235,14.9999877164,""
-1741.94161438942,14.9999999657897,2.95491679947492E-08,NaN,3.69364599934366E-08,NaN,56.5382709800778,14.9998929454362,14.9999862043959,""
-1726.49711441994,15.0000000804684,3.00615818817256E-08,NaN,3.7576977352157E-08,NaN,56.5382622073784,14.9998960488118,14.9999893076638,""
-1711.05074501038,15.0000001953031,3.07024724181092E-08,NaN,3.83780905226365E-08,NaN,56.5381624235439,14.999899152563,14.9999924113073,""
-1695.60624504089,14.9999999887512,2.89708532990837E-08,NaN,3.62135666238547E-08,NaN,56.5381111603855,14.9999039567056,14.999997215866,""
-1680.15987539291,14.999999781865,2.70789347644587E-08,NaN,3.38486684555733E-08,NaN,56.5381322064533,14.9999087614299,15.0000020210064,""
-1664.71537542343,14.9999998963001,2.63629985178173E-08,NaN,3.29537481472717E-08,NaN,56.5381616713384,14.9999148241043,15.0000080793116,""
-1649.26900577545,15.0000000110852,2.57264125716289E-08,NaN,3.21580157145361E-08,NaN,56.538203687832,14.9999208875126,15.0000141383503,""
-1633.82450580597,14.9999999365879,2.56580996647953E-08,NaN,3.20726245809942E-08,NaN,56.5382262153972,14.999923005943,15.0000162646429,""
-1618.37813615799,14.9999998618677,2.5628214698981E-08,NaN,3.20352683737262E-08,NaN,56.5382197289021,14.9999251246298,15.000018391193,""
-1602.93363595009,14.9999999360996,2.46355697047637E-08,NaN,3.07944621309546E-08,NaN,56.5382281434858,14.9999252160337,15.0000184728733,""
-1587.48726654053,15.0000000105212,2.35775970921432E-08,NaN,2.9471996365179E-08,NaN,56.53825873854,14.9999253074487,15.0000185545635,""
