Summary
Name,"SuFEx-R1-BSF-PhOH-2xDBU-5-4-20.rslt"
Start time,2020 май 04 - 15:52
End time,2020 май 06 - 17:10
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\SuFEx-R1-BSF-PhOH-2xDBU-5-4-20.rslt"
General Experiment Info
Bath temperature,25°C
,Sample - Ch 1,Sample - Ch 1,Sample - Ch 1
Total mass,800mg,800mg,800mg
Name,"SuFEx-R1-BSF-PhOH-2xDBU","SuFEx-R1-BSF-PhOH-2xDBU","SuFEx-R1-BSF-PhOH-2xDBU"
,Component - PhOH,Component - PhOH,Component - PhOH
Mass,1.88mg,1.88mg,1.88mg
Name,"PhOH","PhOH","PhOH"
Physical shape,"Liquid","Liquid","Liquid"
,Component - DCM + BSF + 2xDBU,Component - DCM + BSF + 2xDBU,Component - DCM + BSF + 2xDBU
Name,"DCM + BSF + 2xDBU","DCM + BSF + 2xDBU","DCM + BSF + 2xDBU"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Room Temperature","Ampoule A Temperature","Ampoule B Temperature","Time markers"
-5831.47344136238,NaN,NaN,NaN,NaN,NaN,NaN,24.9999053735038,24.9998470378764,""
-5831.47318148613,25.0000001957148,NaN,NaN,NaN,NaN,NaN,24.9999053735449,24.9998470379176,""
-5831.0274348259,25.0000001922495,-6.08013311030606E-08,NaN,-3.23411335654578E-05,NaN,NaN,24.9999054440936,24.9998471086278,""
-5823.12421154976,25.0000001308079,-6.07437512407463E-08,NaN,-3.23105059791204E-05,NaN,25.3509046893783,24.9999066949436,24.9998483623406,""
-5801.89331674576,24.9999999657538,-6.05890710606588E-08,NaN,-3.22282292875845E-05,NaN,25.3645343806081,24.9999100551756,24.9998517302631,""
-5787.10439991951,24.9999998891652,-6.10487602717864E-08,NaN,-3.24727448254183E-05,NaN,25.3761292568211,24.9999171195048,24.9998587904109,""
-5772.31319212914,24.9999998125669,-6.15261905012607E-08,NaN,-3.27266970751387E-05,NaN,25.3904483405708,24.9999241849283,24.9998658516523,""
-5757.52427554131,25.0000000237754,-6.05520035524648E-08,NaN,-3.22085125279068E-05,NaN,25.4053628458708,24.9999289986192,24.9998706663555,""
-5742.73306775093,25.000000235042,-5.95324084043267E-08,NaN,-3.16661746831525E-05,NaN,25.4210536618602,24.999933813056,24.9998754818046,""
-5727.9441511631,25.0000001415788,-5.8130280034711E-08,NaN,-3.0920361720591E-05,NaN,25.4329885200554,24.999937074296,24.9998787408339,""
-5713.15294313431,25.0000000480636,-5.67159876638363E-08,NaN,-3.01680785445938E-05,NaN,25.4400671153697,24.9999403360414,24.9998820003681,""
-5698.36402630806,25.0000001145427,-5.48274928935755E-08,NaN,-2.91635600497742E-05,NaN,25.4401283284182,24.9999421714518,24.9998838296154,""
-5683.57281851768,25.0000001810573,-5.29238767213546E-08,NaN,-2.81509982560397E-05,NaN,25.4311142386602,24.9999440071466,24.9998856591461,""
-5668.78390192986,25.000000094342,-5.05576281551973E-08,NaN,-2.68923554017007E-05,NaN,25.4309406005392,24.9999431841013,24.9998848312672,""
-5653.99269413948,25.0000000075835,-4.81765253585004E-08,NaN,-2.56258113609045E-05,NaN,25.4421927346605,24.9999423609285,24.99988400326,""
-5639.20377755165,24.9999999990379,-4.61646328588753E-08,NaN,-2.45556557759975E-05,NaN,25.4509307853296,24.9999431157559,24.999884753729,""
-5624.41256952286,24.9999999905087,-4.41639861675401E-08,NaN,-2.34914820040107E-05,NaN,25.4564246596922,24.9999438707002,24.9998855043142,""
-5609.62365269661,25.000000018287,-4.39056135553123E-08,NaN,-2.3354049763464E-05,NaN,25.4550045958844,24.999943316992,24.9998849511007,""
-5594.83244490623,25.0000000460791,-4.37018527821464E-08,NaN,-2.32456663734821E-05,NaN,25.4446593658419,24.9999427631981,24.9998843978015,""
-5580.04352831841,24.9999999753293,-4.25503738269273E-08,NaN,-2.26331775675145E-05,NaN,25.438557367492,24.9999398634957,24.999881488855,""
-5565.25232052803,24.9999999045392,-4.13689451085531E-08,NaN,-2.20047580364644E-05,NaN,25.4379270119262,24.999936963344,24.9998785794578,""
-5550.4634039402,24.9999999919684,-3.97270154581381E-08,NaN,-2.11313912011373E-05,NaN,25.4417017739558,24.9999351744835,24.9998767871063,""
-5535.67219591141,25.0000000794641,-3.80703421028466E-08,NaN,-2.02501819695993E-05,NaN,25.4511569391515,24.9999333853459,24.999874994477,""
-5520.88327908516,24.9999999852922,-3.58143534829545E-08,NaN,-1.90501880228481E-05,NaN,25.4563891070403,24.9999320955977,24.9998736952602,""
-5506.09207129478,24.9999998910386,-3.35391344448947E-08,NaN,-1.78399651302631E-05,NaN,25.4561822821336,24.9999308056496,24.999872395842,""
-5491.30315470696,25.000000054518,-3.26499684769687E-08,NaN,-1.73670045090259E-05,NaN,25.4595177133416,24.9999317963553,24.9998733880529,""
-5476.51194691658,25.0000002181268,-3.18043555030952E-08,NaN,-1.69172103739868E-05,NaN,25.4674152447869,24.9999327872144,24.9998743804176,""
-5461.72303032875,24.9999999966342,-3.23959924040607E-08,NaN,-1.72319108532238E-05,NaN,25.469484581443,24.9999337738344,24.9998753631924,""
-5446.93182229996,24.999999774938,-3.30330890233521E-08,NaN,-1.75707920336979E-05,NaN,25.4640551404177,24.9999347606073,24.9998763461194,""
-5432.14290547371,24.9999998680391,-3.23295163585509E-08,NaN,-1.71965512545483E-05,NaN,25.4586022546889,24.9999368700949,24.9998784553976,""
-5417.35169768333,24.999999961304,-3.15834622814581E-08,NaN,-1.6799713979499E-05,NaN,25.4531172890663,24.9999389799094,24.9998805650025,""
-5402.5627810955,24.9999999546558,-3.0899866811352E-08,NaN,-1.64360993677405E-05,NaN,25.4395257486715,24.999937874114,24.9998794575843,""
-5387.77157330513,24.9999999479555,-3.02181383899242E-08,NaN,-1.6073477866981E-05,NaN,25.4155112745096,24.9999367681472,24.9998783499945,""
-5372.9826567173,25.0000000600101,-2.97031035649532E-08,NaN,-1.57995231728474E-05,NaN,25.4137198536305,24.9999328429919,24.9998744214221,""
-5358.19144868851,25.0000001721468,-2.91932674124331E-08,NaN,-1.55283337300176E-05,NaN,25.4404696669335,24.9999289172284,24.999870492241,""
-5343.40253186226,25.0000001109474,-2.75284893410267E-08,NaN,-1.46428134792695E-05,NaN,25.4438850807935,24.9999269489159,24.9998685229531,""
-5328.61132407188,25.000000049638,-2.58268105430183E-08,NaN,-1.37376651824565E-05,NaN,25.4173513526019,24.9999249802985,24.9998665533601,""
-5313.82240748405,25.0000000073683,-2.45170383607563E-08,NaN,-1.30409778514661E-05,NaN,25.40402453939,24.9999245414971,24.9998661115539,""
-5299.03119969368,24.9999999651038,-2.32195033448562E-08,NaN,-1.23507996515193E-05,NaN,25.4076337908103,24.9999241026277,24.9998656696793,""
-5284.24228310585,24.9999999501738,-2.29297055707791E-08,NaN,-1.21966518993506E-05,NaN,25.4066095332254,24.999923156706,24.9998647215021,""
-5269.45107507706,24.9999999352592,-2.26719054578954E-08,NaN,-1.20595241797316E-05,NaN,25.3996451567265,24.9999222106378,24.999863773178,""
-5254.66215825081,25.0000000927356,-2.16143116901361E-08,NaN,-1.14969743032639E-05,NaN,25.3981310113605,24.9999238450201,24.9998654066655,""
-5239.87095046043,25.0000002503547,-2.05310858633992E-08,NaN,-1.09207903528719E-05,NaN,25.4035986588928,24.9999254796556,24.999867040406,""
-5225.0820338726,25.0000001695557,-1.87693476819915E-08,NaN,-9.98369557552741E-06,NaN,25.4029746491354,24.9999276352151,24.9998691884451,""
-5210.29082608223,25.0000000885724,-1.69856995942438E-08,NaN,-9.03494659268286E-06,NaN,25.3945512642282,24.9999297911086,24.999871336817,""
