Summary
Name,"Ampoule_SuFEx_CH3_12-11-19.rslt"
Start time,2019 дек 11 - 11:53
End time,2019 дек 16 - 22:33
Operator,"Alex"
Results file path,"C:\TAMIII-Results\SUFEX\Ampoule_SuFEx_CH3_12-11-19.rslt"
General Experiment Info
Bath temperature,25°C
,Sample - Ch 1
Total mass,800g
Name,"SuFEx_CH3"
,Component - PhOH
Mass,1.88mg
Name,"PhOH"
Physical shape,"Liquid"
,Component - DBU+DCM+bsfCH3
Name,"DBU+DCM+bsfCH3"

"Time","Temperature","Heat flow","Heat","Normalized heat flow","Normalized heat","Time markers"
-1308.83991312981,25.000000108125,NaN,NaN,NaN,NaN,""
-1308.58455467224,25.0000001077185,-2.70728829318791E-07,NaN,-0.000144004696446166,NaN,""
-1230.43942689896,24.9999999833024,-2.56344516787779E-07,NaN,-0.000136353466376478,NaN,""
-1191.23918366432,24.9999999979793,-2.48980636586923E-07,NaN,-0.000132436508822832,NaN,""
-1152.03894042969,25.0000000126563,-2.41615784454937E-07,NaN,-0.000128519034284541,NaN,""
-1112.83869719505,25.0000000508341,-2.36208461729238E-07,NaN,-0.000125642798792148,NaN,""
-1073.63845419884,25.0000000890119,-2.30813975785423E-07,NaN,-0.000122773391375225,NaN,""
-1034.4382109642,24.9999999964869,-2.24680009630148E-07,NaN,-0.000119510643420291,NaN,""
-995.237967729568,24.999999903962,-2.18541193974872E-07,NaN,-0.000116245315944081,NaN,""
-956.037724733353,24.9999999765671,-2.10311068500141E-07,NaN,-0.000111867589627735,NaN,""
-916.837481498718,25.0000000491723,-2.02067227474621E-07,NaN,-0.00010748256780565,NaN,""
-877.637238264084,24.9999999964926,-1.83996898535181E-07,NaN,-9.78706907102026E-05,NaN,""
-838.436995029449,24.9999999438128,-1.65862120731406E-07,NaN,-8.82245323039392E-05,NaN,""
-799.236751794815,24.9999999281066,-1.20562962477766E-07,NaN,-6.41292353605141E-05,NaN,""
-760.036508798599,24.9999999124004,-7.50856322745461E-08,NaN,-3.9939166103482E-05,NaN,""
-720.836265563965,24.9999999513118,-6.54504586758272E-08,NaN,-3.48140737637379E-05,NaN,""
-681.63602232933,24.9999999902232,-5.60503879859489E-08,NaN,-2.98140361627388E-05,NaN,""
-642.435779333115,25.0000000122808,-8.70754494308028E-08,NaN,-4.63167284206398E-05,NaN,""
-603.23553609848,25.0000000343384,-1.18365689476529E-07,NaN,-6.29604731258132E-05,NaN,""
-564.035292863846,25.0000001169065,-1.34815245034939E-07,NaN,-7.17102367207122E-05,NaN,""
-524.835049629211,25.0000001994746,-1.51167444238106E-07,NaN,-8.04082150202694E-05,NaN,""
-485.634806394577,25.0000001771803,-1.54913113711538E-07,NaN,-8.24005923997541E-05,NaN,""
-446.434563159943,25.0000001548861,-1.58576078677546E-07,NaN,-8.43489780199713E-05,NaN,""
-407.234319925308,25.0000000374558,-1.61057506291523E-07,NaN,-8.56688863252784E-05,NaN,""
-368.034076929092,24.9999999200256,-1.6353118205878E-07,NaN,-8.69846713078618E-05,NaN,""
-328.833833694458,24.9999999350964,-1.69837780857418E-07,NaN,-9.03392451369247E-05,NaN,""
-289.633590459824,24.9999999501672,-1.7616952804826E-07,NaN,-9.37071957703511E-05,NaN,""
-250.433347463608,24.9999998958011,-1.66480482958817E-07,NaN,-8.85534483823494E-05,NaN,""
-211.233104228973,24.9999998414349,-1.56686317321866E-07,NaN,-8.33437858095031E-05,NaN,""
-210.977554559708,24.9999998417942,-1.56622468335668E-07,NaN,-8.33098235828019E-05,NaN,""
-132.832617759705,24.9999999516545,NaN,NaN,NaN,NaN,""
-54.4321315288544,24.9999999486285,NaN,NaN,NaN,NaN,""
0,25.0000000675351,NaN,NaN,NaN,NaN,"Reaction start"
39.2002432346344,25.0000000489649,NaN,NaN,NaN,NaN,""
102.368841171265,24.9999997548141,NaN,NaN,NaN,NaN,""
180.769327640533,24.9999999880225,NaN,NaN,NaN,NaN,""
259.169813871384,24.9999998674309,NaN,NaN,NaN,NaN,""
337.570300340652,24.9999998996557,NaN,NaN,NaN,NaN,""
415.970786571503,25.0000002169838,NaN,NaN,NaN,NaN,""
494.371273040771,25.0000001740794,NaN,NaN,NaN,NaN,""
572.771759271622,24.999999917668,NaN,NaN,NaN,NaN,""
651.172245740891,25.0000000581666,NaN,NaN,NaN,NaN,""
729.572731971741,25.0000001898549,NaN,NaN,NaN,NaN,""
807.97321844101,25.0000001281525,NaN,NaN,NaN,NaN,""
886.37370467186,24.9999999804863,NaN,NaN,NaN,NaN,""
910.030598640442,24.9999999934616,NaN,NaN,NaN,NaN,"Measuring position"
964.774191141129,25.0000000234874,NaN,NaN,NaN,NaN,""
1043.17467737198,25.0000000934794,NaN,NaN,NaN,NaN,""
1121.57516384125,25.0000000469484,NaN,NaN,NaN,NaN,""
1199.9756500721,25.0000001075714,NaN,NaN,NaN,NaN,""
1239.17589330673,25.0000000256421,NaN,NaN,NaN,NaN,"Signal correct"
1278.37613654137,24.9999999437127,NaN,NaN,NaN,NaN,""
1278.63194537163,24.9999999433198,7.45259975295491E-05,0.00418790315211619,0.0396414880476325,2.22760805963627,""
1356.77662301064,24.9999998232818,7.34141234051192E-05,0.00996812746110922,0.0390500656410208,5.30219545803682,""
1395.97686600685,24.9999999215691,7.29733480306512E-05,0.0128288431198381,0.0388156106546017,6.82385272331815,""
1435.17710924149,25.0000000198565,7.25333410949268E-05,0.0156893035455514,0.0385815644121951,8.34537422635712,""
1474.37735247612,24.9999999060804,7.21817592308942E-05,0.0185189586319216,0.0383945527823905,9.85050991059658,""
1513.57759571075,24.9999997923043,7.18307582548595E-05,0.0213484113497604,0.0382078501355636,11.3555379520002,""
