Time, s; Heat flow, Watt
1500.47654014361; 3.24136816321505e-05
1575.77939791239; 2.58104749891932e-05
1651.08225568118; 2.57396156703106e-05
1726.38511344998; 2.76164646166151e-05
1801.68797121876; 2.65958193812411e-05
1876.99082898756; 2.65745207126062e-05
2023.34230767412; 2.67700182289320e-05
2240.74240727844; 2.71606106692867e-05
2387.09388596499; 2.77419336964662e-05
2533.44536465154; 2.72311143086718e-05
2679.79684333810; 2.71068062718883e-05
2826.14832202466; 2.63737571531990e-05
2972.49980071121; 2.59132899067546e-05
3118.85127939777; 2.61305234969625e-05
3265.20275808433; 2.59702090665978e-05
3411.55423677088; 2.56625338960761e-05
3557.90571545744; 2.56888456401209e-05
3704.25719414399; 2.55362058688539e-05
3850.60867283055; 2.52545093188543e-05
3996.96015151711; 2.50718886348466e-05
4143.31163020367; 2.49244874920489e-05
4289.66310889022; 2.46319208019069e-05
4436.01458757677; 2.47175249094398e-05
4653.41468718110; 2.43112299463473e-05
4799.76616586766; 2.44421981820949e-05
4946.11764455422; 2.44491032785918e-05
5092.46912324077; 2.38150850681935e-05
5238.82060192732; 2.42635186680412e-05
5385.17208061388; 2.37926658972388e-05
5531.52355930043; 2.39826333589532e-05
5677.87503798699; 2.35389346313555e-05
5824.22651667355; 2.31897150209610e-05
5970.57799536010; 2.37049366539261e-05
6116.92947404666; 2.17157428639535e-05
6263.28095273322; 1.92156927153140e-05
6409.63243141978; 1.92928650510714e-05
6555.98391010633; 1.94601790083608e-05
6702.33538879288; 1.90650119544336e-05
6848.68686747944; 1.90908457558517e-05
6995.03834616600; 1.92463795314564e-05
7212.43844577032; 1.88814455310768e-05
7358.78992445687; 1.91401417438201e-05
7505.14140314343; 1.88818357240334e-05
7651.49288182998; 1.89448260971636e-05
7797.84436051654; 1.89668239392516e-05
7944.19583920310; 1.84467145811408e-05
8090.54731788966; 1.88582011599881e-05
8236.89879657622; 1.85203359886253e-05
8383.25027526277; 1.82657739889679e-05
8529.60175394933; 1.84287051972781e-05
8675.95323263588; 1.82427636619200e-05
8822.30471132243; 1.83709289837777e-05
8968.65619000899; 1.81919905550735e-05
9115.00766869555; 1.80722134561715e-05
9261.35914738211; 1.80836853610341e-05
9407.71062606867; 1.79966492329398e-05
9554.06210475522; 1.77707005538944e-05
9771.46220435954; 1.79179032339259e-05
9917.81368304610; 1.78885662801657e-05
10064.16516173265; 1.76083994739614e-05
10210.51664041921; 1.77154326514037e-05
10356.86811910577; 1.75206231091806e-05
10503.21959779233; 1.74151447501788e-05
