[1] "Exp-Zero"        "9.697245e-05"    "4.877849e-06"    "1.761698e-04"   
[5] "2.487360e-01"    "5.653460e-01"    "SUFEX-Model2.R0"
Nelder-Mead Opt
pQ0=4.578e+00
Step74  Qn=3.543e-05  pQn=4.450627  pQmin=5.042038
Step75  Qn=9.311e-06  pQn=5.031021  pQmin=5.042038
Step76  Qn=1.714e-05  pQn=4.765981  pQmin=5.042038
Step77  Qn=1.407e-05  pQn=4.851754  pQmin=5.042038
Step78  Qn=1.411e-05  pQn=4.850393  pQmin=5.042038
Step79  Qn=1.553e-05  pQn=4.808711  pQmin=5.042038
Step80  Qn=1.084e-05  pQn=4.964882  pQmin=5.042038
Step81  Qn=1.555e-05  pQn=4.808407  pQmin=5.042038
Step82  Qn=1.077e-05  pQn=4.967788  pQmin=5.042038
Step83  Qn=1.541e-05  pQn=4.812183  pQmin=5.042038
Step84  Qn=1.048e-05  pQn=4.979481  pQmin=5.042038
Step85  Qn=9.325e-06  pQn=5.030360  pQmin=5.042038
Step86  Qn=4.222e-05  pQn=4.374447  pQmin=5.042038
Step87  Qn=1.246e-05  pQn=4.904314  pQmin=5.042038
Step88  Qn=1.230e-05  pQn=4.909940  pQmin=5.042038
Step89  Qn=1.228e-05  pQn=4.910807  pQmin=5.042038
Step90  Qn=1.391e-05  pQn=4.856528  pQmin=5.042038
Step91  Qn=1.109e-05  pQn=4.954976  pQmin=5.042038
Step92  Qn=1.351e-05  pQn=4.869477  pQmin=5.042038
Step93  Qn=1.030e-05  pQn=4.987000  pQmin=5.042038
Step94  Qn=1.674e-05  pQn=4.776180  pQmin=5.042038
Step95  Qn=3.163e-05  pQn=4.499959  pQmin=5.042038
Step96  Qn=9.816e-06  pQn=5.008053  pQmin=5.042038
Step97  Qn=1.123e-05  pQn=4.949685  pQmin=5.042038
Step98  Qn=3.849e-05  pQn=4.414604  pQmin=5.042038
Step99  Qn=9.866e-06  pQn=5.005846  pQmin=5.042038
Step100  Qn=1.254e-05  pQn=4.901852  pQmin=5.042038
Step101  Qn=2.580e-05  pQn=4.588361  pQmin=5.042038
Step102  Qn=2.874e-05  pQn=4.541441  pQmin=5.042038
Step103  Qn=9.430e-06  pQn=5.025493  pQmin=5.042038
Step104  Qn=9.825e-06  pQn=5.007680  pQmin=5.042038
Step105  Qn=1.137e-05  pQn=4.944142  pQmin=5.042038
Step106  Qn=1.477e-05  pQn=4.830627  pQmin=5.042038
Step107  Qn=1.216e-05  pQn=4.915101  pQmin=5.042038
Step108  Qn=2.582e-05  pQn=4.587984  pQmin=5.042038
Step109  Qn=1.197e-05  pQn=4.922003  pQmin=5.042038
Step110  Qn=1.031e-05  pQn=4.986809  pQmin=5.042038
Step111  Qn=2.717e-05  pQn=4.565961  pQmin=5.042038
Step112  Qn=9.049e-06  pQn=5.043416  pQmin=5.042038
[1] "Quality: 2221 9.048651e-06 5.043416"
  pQ=5.043416  Q=9.049e-06  dQ=0.000000  [1] 1.319409e-04 7.230970e-09 1.487939e-04 1.843236e-01 5.747108e-01
Step113  Qn=1.735e-05  pQn=4.760593  pQmin=5.043416
Step114  Qn=1.181e-05  pQn=4.927819  pQmin=5.043416
Step115  Qn=9.295e-06  pQn=5.031765  pQmin=5.043416
Step116  Qn=1.043e-05  pQn=4.981628  pQmin=5.043416
Step117  Qn=1.075e-05  pQn=4.968582  pQmin=5.043416
Step118  Qn=1.269e-05  pQn=4.896620  pQmin=5.043416
Step119  Qn=1.009e-05  pQn=4.996109  pQmin=5.043416
Step120  Qn=1.180e-05  pQn=4.928132  pQmin=5.043416
Step121  Qn=1.760e-05  pQn=4.754573  pQmin=5.043416
Step122  Qn=1.410e-05  pQn=4.850916  pQmin=5.043416
Step123  Qn=2.331e-05  pQn=4.632493  pQmin=5.043416
Step124  Qn=1.263e-05  pQn=4.898697  pQmin=5.043416
Step125  Qn=1.492e-05  pQn=4.826122  pQmin=5.043416
Step126  Qn=1.365e-05  pQn=4.864942  pQmin=5.043416
Step127  Qn=1.051e-05  pQn=4.978323  pQmin=5.043416
Step128  Qn=1.872e-05  pQn=4.727722  pQmin=5.043416
Step129  Qn=2.601e-05  pQn=4.584782  pQmin=5.043416
Step130  Qn=1.097e-05  pQn=4.959974  pQmin=5.043416
Step131  Qn=1.568e-05  pQn=4.804658  pQmin=5.043416
Step132  Qn=1.206e-05  pQn=4.918766  pQmin=5.043416
Step133  Qn=1.420e-05  pQn=4.847650  pQmin=5.043416
Step134  Qn=9.800e-06  pQn=5.008772  pQmin=5.043416
Step135  Qn=1.551e-05  pQn=4.809305  pQmin=5.043416
Step136  Qn=1.126e-05  pQn=4.948427  pQmin=5.043416
Step137  Qn=9.243e-06  pQn=5.034199  pQmin=5.043416
Step138  Qn=9.895e-06  pQn=5.004598  pQmin=5.043416
Step139  Qn=1.287e-05  pQn=4.890436  pQmin=5.043416
Step140  Qn=1.581e-05  pQn=4.801093  pQmin=5.043416
Step141  Qn=1.544e-05  pQn=4.811273  pQmin=5.043416
Step142  Qn=1.453e-05  pQn=4.837784  pQmin=5.043416
Step143  Qn=1.620e-05  pQn=4.790427  pQmin=5.043416
Step144  Qn=9.865e-06  pQn=5.005923  pQmin=5.043416
Step145  Qn=9.906e-06  pQn=5.004101  pQmin=5.043416
Step146  Qn=9.527e-06  pQn=5.021022  pQmin=5.043416
Step147  Qn=1.292e-05  pQn=4.888575  pQmin=5.043416
Step148  Qn=1.730e-05  pQn=4.762030  pQmin=5.043416
Step149  Qn=3.112e-05  pQn=4.506955  pQmin=5.043416
Step150  Qn=1.551e-05  pQn=4.809253  pQmin=5.043416
Step151  Qn=1.039e-05  pQn=4.983331  pQmin=5.043416
Step152  Qn=1.156e-05  pQn=4.937067  pQmin=5.043416
Step153  Qn=1.891e-05  pQn=4.723423  pQmin=5.043416
Step154  Qn=2.745e-05  pQn=4.561428  pQmin=5.043416
Step155  Qn=1.425e-05  pQn=4.846329  pQmin=5.043416
Step156  Qn=2.202e-05  pQn=4.657212  pQmin=5.043416
Step157  Qn=1.585e-05  pQn=4.799906  pQmin=5.043416
Step158  Qn=1.988e-05  pQn=4.701636  pQmin=5.043416
Step159  Qn=1.414e-05  pQn=4.849545  pQmin=5.043416
Step160  Qn=9.068e-06  pQn=5.042499  pQmin=5.043416
Step161  Qn=9.899e-06  pQn=5.004419  pQmin=5.043416
Step162  Qn=1.884e-05  pQn=4.724808  pQmin=5.043416
Step163  Qn=1.088e-05  pQn=4.963414  pQmin=5.043416
Step164  Qn=1.620e-05  pQn=4.790539  pQmin=5.043416
Step165  Qn=9.026e-06  pQn=5.044496  pQmin=5.043416
[1] "Quality: 2221 9.026174e-06 5.044496"
  pQ=5.044496  Q=9.026e-06  dQ=0.000000  [1] 1.535653e-04 1.740015e-06 1.356147e-04 1.577776e-01 5.994879e-01
Step166  Qn=1.404e-05  pQn=4.852606  pQmin=5.044496
Step167  Qn=1.558e-05  pQn=4.807314  pQmin=5.044496
Step168  Qn=1.057e-05  pQn=4.975762  pQmin=5.044496
Step169  Qn=1.092e-05  pQn=4.961633  pQmin=5.044496
Step170  Qn=1.260e-05  pQn=4.899733  pQmin=5.044496
Step171  Qn=3.020e-05  pQn=4.519987  pQmin=5.044496
Step172  Qn=9.087e-06  pQn=5.041560  pQmin=5.044496
Step173  Qn=1.132e-05  pQn=4.946070  pQmin=5.044496
Step174  Qn=2.186e-05  pQn=4.660384  pQmin=5.044496
Step175  Qn=1.215e-05  pQn=4.915304  pQmin=5.044496
Step176  Qn=1.024e-05  pQn=4.989565  pQmin=5.044496
Step177  Qn=9.322e-06  pQn=5.030469  pQmin=5.044496
Step178  Qn=9.141e-06  pQn=5.039018  pQmin=5.044496
Step179  Qn=1.369e-05  pQn=4.863567  pQmin=5.044496
Step180  Qn=1.095e-05  pQn=4.960699  pQmin=5.044496
Step181  Qn=1.071e-05  pQn=4.970093  pQmin=5.044496
Step182  Qn=9.750e-06  pQn=5.011015  pQmin=5.044496
Step183  Qn=1.527e-05  pQn=4.816226  pQmin=5.044496
Step184  Qn=2.085e-05  pQn=4.680827  pQmin=5.044496
Step185  Qn=9.357e-06  pQn=5.028865  pQmin=5.044496
Step186  Qn=3.254e-05  pQn=4.487642  pQmin=5.044496
Step187  Qn=2.465e-05  pQn=4.608158  pQmin=5.044496
Step188  Qn=1.557e-05  pQn=4.807757  pQmin=5.044496
Step189  Qn=9.508e-06  pQn=5.021909  pQmin=5.044496
Step190  Qn=1.003e-05  pQn=4.998702  pQmin=5.044496
Step191  Qn=1.439e-05  pQn=4.842063  pQmin=5.044496
Step192  Qn=2.210e-05  pQn=4.655662  pQmin=5.044496
Step193  Qn=2.560e-05  pQn=4.591814  pQmin=5.044496
Step194  Qn=1.228e-05  pQn=4.910673  pQmin=5.044496
Step195  Qn=9.110e-06  pQn=5.040467  pQmin=5.044496
Step196  Qn=1.099e-05  pQn=4.959097  pQmin=5.044496
Step197  Qn=1.787e-05  pQn=4.747796  pQmin=5.044496
Step198  Qn=2.260e-05  pQn=4.645874  pQmin=5.044496
Step199  Qn=1.543e-05  pQn=4.811561  pQmin=5.044496
Step200  Qn=1.253e-05  pQn=4.902120  pQmin=5.044496
Step201  Qn=9.121e-06  pQn=5.039961  pQmin=5.044496
Step202  Qn=1.112e-05  pQn=4.953980  pQmin=5.044496
Step203  Qn=1.829e-05  pQn=4.737824  pQmin=5.044496
Step204  Qn=9.020e-06  pQn=5.044811  pQmin=5.044496
[1] "Quality: 2221 9.019630e-06 5.044811"
  pQ=5.044811  Q=9.020e-06  dQ=0.000000  [1]  1.447505e-04 -2.689794e-07  1.397118e-04  1.695003e-01  5.870475e-01
Step205  Qn=1.656e-05  pQn=4.780939  pQmin=5.044811
Step206  Qn=1.696e-05  pQn=4.770648  pQmin=5.044811
Step207  Qn=1.265e-05  pQn=4.897900  pQmin=5.044811
Step208  Qn=1.337e-05  pQn=4.874014  pQmin=5.044811
Step209  Qn=1.256e-05  pQn=4.900933  pQmin=5.044811
Step210  Qn=1.032e-05  pQn=4.986128  pQmin=5.044811
Step211  Qn=9.062e-06  pQn=5.042772  pQmin=5.044811
Step212  Qn=1.140e-05  pQn=4.943269  pQmin=5.044811
Step213  Qn=1.136e-05  pQn=4.944771  pQmin=5.044811
Step214  Qn=9.261e-06  pQn=5.033333  pQmin=5.044811
Step215  Qn=1.303e-05  pQn=4.884941  pQmin=5.044811
Step216  Qn=1.592e-05  pQn=4.797937  pQmin=5.044811
Step217  Qn=1.263e-05  pQn=4.898614  pQmin=5.044811
Step218  Qn=2.050e-05  pQn=4.688223  pQmin=5.044811
Step219  Qn=1.348e-05  pQn=4.870334  pQmin=5.044811
Step220  Qn=1.104e-05  pQn=4.957126  pQmin=5.044811
Step221  Qn=1.052e-05  pQn=4.978009  pQmin=5.044811
Step222  Qn=2.442e-05  pQn=4.612332  pQmin=5.044811
Step223  Qn=3.398e-05  pQn=4.468838  pQmin=5.044811
Step224  Qn=1.107e-05  pQn=4.955688  pQmin=5.044811
Step225  Qn=1.335e-05  pQn=4.874487  pQmin=5.044811
Step226  Qn=1.492e-05  pQn=4.826348  pQmin=5.044811
Step227  Qn=1.541e-05  pQn=4.812116  pQmin=5.044811
Step228  Qn=1.993e-05  pQn=4.700546  pQmin=5.044811
Step229  Qn=9.615e-06  pQn=5.017052  pQmin=5.044811
Step230  Qn=1.259e-05  pQn=4.900117  pQmin=5.044811
Step231  Qn=9.520e-06  pQn=5.021369  pQmin=5.044811
Step232  Qn=3.098e-05  pQn=4.508869  pQmin=5.044811
Step233  Qn=1.358e-05  pQn=4.867153  pQmin=5.044811
Step234  Qn=9.283e-06  pQn=5.032301  pQmin=5.044811
Step235  Qn=2.424e-05  pQn=4.615396  pQmin=5.044811
Step236  Qn=1.156e-05  pQn=4.937143  pQmin=5.044811
Step237  Qn=1.400e-05  pQn=4.853977  pQmin=5.044811
Step238  Qn=1.287e-05  pQn=4.890318  pQmin=5.044811
Step239  Qn=1.367e-05  pQn=4.864302  pQmin=5.044811
Step240  Qn=2.174e-05  pQn=4.662722  pQmin=5.044811
Step241  Qn=1.053e-05  pQn=4.977499  pQmin=5.044811
Step242  Qn=1.178e-05  pQn=4.928706  pQmin=5.044811
Step243  Qn=1.065e-05  pQn=4.972742  pQmin=5.044811
Step244  Qn=1.284e-05  pQn=4.891401  pQmin=5.044811
Step245  Qn=1.925e-05  pQn=4.715633  pQmin=5.044811
Step246  Qn=1.191e-05  pQn=4.924220  pQmin=5.044811
Step247  Qn=1.930e-05  pQn=4.714345  pQmin=5.044811
Step248  Qn=9.261e-06  pQn=5.033357  pQmin=5.044811
Step249  Qn=9.087e-06  pQn=5.041569  pQmin=5.044811
Step250  Qn=1.243e-05  pQn=4.905380  pQmin=5.044811
Step251  Qn=9.235e-06  pQn=5.034563  pQmin=5.044811
Step252  Qn=1.618e-05  pQn=4.790995  pQmin=5.044811
Step253  Qn=9.714e-06  pQn=5.012610  pQmin=5.044811
Step254  Qn=9.922e-06  pQn=5.003411  pQmin=5.044811
Step255  Qn=9.333e-06  pQn=5.029984  pQmin=5.044811
Step256  Qn=1.237e-05  pQn=4.907605  pQmin=5.044811
Step257  Qn=1.926e-05  pQn=4.715407  pQmin=5.044811
Step258  Qn=1.198e-05  pQn=4.921703  pQmin=5.044811
Step259  Qn=1.553e-05  pQn=4.808793  pQmin=5.044811
Step260  Qn=1.645e-05  pQn=4.783770  pQmin=5.044811
Step261  Qn=1.917e-05  pQn=4.717345  pQmin=5.044811
Step262  Qn=1.030e-05  pQn=4.987058  pQmin=5.044811
Step263  Qn=1.622e-05  pQn=4.789894  pQmin=5.044811
Step264  Qn=1.023e-05  pQn=4.989948  pQmin=5.044811
Step265  Qn=1.981e-05  pQn=4.703210  pQmin=5.044811
Step266  Qn=1.617e-05  pQn=4.791256  pQmin=5.044811
Step267  Qn=9.229e-06  pQn=5.034860  pQmin=5.044811
Step268  Qn=3.669e-05  pQn=4.435449  pQmin=5.044811
Step269  Qn=1.380e-05  pQn=4.859973  pQmin=5.044811
Step270  Qn=1.380e-05  pQn=4.860010  pQmin=5.044811
Step271  Qn=2.475e-05  pQn=4.606413  pQmin=5.044811
Step272  Qn=1.101e-05  pQn=4.958287  pQmin=5.044811
Step273  Qn=3.010e-05  pQn=4.521505  pQmin=5.044811
Step274  Qn=4.060e-05  pQn=4.391523  pQmin=5.044811
