; v1; ; ; ; v2; ; ; ; v3; ; ; ; v4; ; ; ; v5; ; ; ;
C; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum; M+H; M+Na; M+K; Sum;
L2;  4947.6;  186283.6;  4784.4;  196015.6;  5681.2;  292170.8;  5637.3;  303489.3;  4985.0;  258668.6;  6599.6;  270253.2;  3874.6;  227534.2;  7375.0;  238783.7;  3868.6;  239443.4;  7152.8;  250464.8; 
L3;  4412.6;  212594.9;  5375.3;  222382.8;  1553.8;  293188.6;  7026.7;  301769.0;  2331.7;  261321.3;  7257.2;  270910.1;  1565.2;  257801.5;  7800.9;  267167.6;  1251.6;  250566.2;  7097.9;  258915.7; 
L4;  1504.9;  216160.1;  6441.8;  224106.8;  1537.0;  367456.3;  8783.7;  377777.0;  1938.9;  338260.7;  9267.3;  349466.9;  1292.1;  309637.3;  9422.1;  320351.5;  1706.4;  313022.8;  8515.6;  323244.8; 
L5;  1325.7;  333360.6;  8408.1;  343094.3;  1163.9;  319618.8;  8956.7;  329739.5;  1365.0;  305807.6;  8852.7;  316025.3;  897.1;  288341.1;  10203.9;  299442.1;  1142.3;  292971.6;  8980.6;  303094.5; 
L6;  1319.1;  221286.9;  8190.0;  230796.0;  1047.3;  219902.2;  8247.2;  229196.7;  415.6;  218632.6;  8714.9;  227763.0;  795.8;  207178.7;  9797.6;  217772.0;  754.9;  218618.5;  10334.2;  229707.6; 
L7;  0.0;  119698.3;  7352.8;  127051.1;  332.2;  113283.1;  7382.9;  120998.3;  0.0;  115905.0;  7961.3;  123866.3;  240.4;  102096.2;  7491.6;  109828.2;  226.4;  111602.2;  7763.7;  119592.2; 
L8;  514.9;  39941.4;  4243.7;  44700.0;  0.0;  43799.5;  4572.9;  48372.4;  223.8;  39169.9;  3709.9;  43103.6;  0.0;  33492.0;  4746.8;  38238.8;  224.0;  37330.0;  4699.6;  42253.7; 
L9;  202.5;  7320.4;  1201.2;  8724.1;  213.0;  6533.9;  818.4;  7565.3;  0.0;  6004.5;  1008.2;  7012.8;  0.0;  4963.6;  810.8;  5774.4;  200.5;  7030.6;  1322.4;  8553.5; 
L10;  0.0;  665.1;  0.0;  665.1;  0.0;  242.0;  0.0;  242.0;  0.0;  296.1;  0.0;  296.1;  0.0;  226.2;  682.0;  908.2;  0.0;  212.9;  0.0;  212.9; 
L11;  0.0;  0.0;  0.0;  0.0; 
L12;  408.1;  0.0;  0.0;  408.1; 
